Название,Цена,Рейтинг,Количество отзывов,Страна,Гарантия,Операционная система,Потребляемая мощность,Диагональ,Технология,Разрешение экрана,Поддержка HDR,Воспроизведение видео через USB,Smart TV,Управление,Таймер выключения,Часы,Защита от детей,Телетекст,Функция TimeShift,Запись телепередач (PVR),Разъем для модуля DVB CAM (слот CI),Стандарт VESA,Смартфон в качестве пульта ДУ,Пульт ДУ,Технология HDMI ARC,Цифровое шумоподавление,Поддерживаемые цифровые стандарты,Тип звуковой системы,Суммарная мощность,Композитный вход,Аудиовход RCA,Компонентный,Аудиовыход RCA,HDMI,Версия HDMI,Вход для ПК,Коаксиальный аудиовыход,Оптический аудиовыход,Оптический аудиовход,Выход для наушников,USB,Количество разъемов USB,Ethernet (LAN),Bluetooth,Wi-Fi,Вход 3.5 мм аудио,Вход 3.5 мм аудио/видео,Выход 3.5 мм аудио,Выход 3.5 мм аудио/видео,Подставка,Высота с подставкой,Ширина с подставкой,Глубина с подставкой,Высота,Ширина,Глубина,Вес с подставкой,Вес без подставки,Цвет,Формат,Цветовая система,Кол-во встроенных динамиков,Мощность,Вес,Контрастность,Коаксиальный аудиовход,Версия ОС на начало продаж,Яркость,Объем встроенной памяти,Объем оперативной памяти,Частота обновления,Угол обзора по вертикали,Угол обзора по горизонтали,Время отклика,Таймер включения,Любимые каналы,Масштабирование,Тип матрицы,Технологии улучшения изображения,Тип светодиодной подсветки,Объемное звучание,Эквалайзер,Акустическая схема,Гид по программам,Модель процессора,Количество ядер процессора,Производитель процессора,Автоматическая регулировка громкости,eARC,Батарейки для пульта ДУ,Поддерживаемые форматы,NFC,Композитный выход,Родительский контроль,Количество тюнеров,Слот для карт памяти,Динамическая контрастность,Технологии улучшения звука,Подсветка Ambilight,Картинка в картинке (PIP),Встроенный DVD-плеер,Встроенный сабвуфер,Мощность сабвуфера,Прогрессивная развертка,Изменение формата,Регулировка контрастности,Предустановки изображения,Русифицированное меню,Синий экран,Автоматическая настройка,Ручная настройка,Предустановки,SCART,Список программ,Частота процессора,Изогнутый экран
"LED телевизор 43"" Artel UA43H3401",28 999 р.,5,161,Узбекистан,1 год,Android TV,65 Вт,"43"" (109.2 см) ",LED ,1920x1080 Пикс (Full HD) ,,Есть ,Есть ,Голосом ,,Есть ,Есть,,,,,300x300 ,,Есть,,Есть,"DVB-C, DVB-S, DVB-T, DVB-C2, DVB-S2, DVB-T2 ",,,Есть,,Есть,,2 ,,,,,,Есть,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,61 см,96.2 см,21.2 см,,,,,,,16:9,"PAL, SECAM",2 ,20 Вт,,1500:1,,9.0,,8 ГБ,1.5 ГБ,60 Гц ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 43"" Яндекс с Алисой (YNDX-00071)",27 999 р.,5,57,Китай,1 год,"Яндекс.ТВ, Android TV",90 Вт,"43"" (109.2 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,,,,Есть,,Есть,,Есть,,"DVB-C, DVB-T, DVB-S2, DVB-T2 ",,,,,,,3 ,2.0,,,Есть,,,Есть ,2,Есть ,Есть,Есть ,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,16 Вт,,5000:1,,9.0,300 кд/м² ,16 ГБ,1.5 ГБ,60 Гц ,178 °,178 ° ,9.5 мс,,,Есть,,,Direct LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) QLED телевизор 55"" Hisense 55E7HQ",44 999 р.,5,111,Россия,1 год,VIDAA,130 Вт,"55"" (139.7 см) ",QLED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,,,Есть,,Есть,,Есть,200x300 ,Есть,,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",Dolby Atmos&Vision,,Есть,,,,3 ,,,,,,,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,76.8 см,123.2 см,,,,,,,,16:9,"PAL, SECAM",,16 Вт,,3800:1,,5.0,,,,60 Гц ,,,,,,Есть,,,Direct LED,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 50"" Яндекс с Алисой (YNDX-00072)",33 999 р.,5,64,Китай,1 год,"Яндекс.ТВ, Android TV",100 Вт,"50"" (127 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,,,,Есть,,Есть,,Есть,,"DVB-C, DVB-T, DVB-S2, DVB-T2 ",,,,,,,3 ,2.0,,,Есть,,,Есть ,2,Есть ,Есть,Есть ,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,20 Вт,,5000:1,,9.0,300 кд/м² ,16 ГБ,1.5 ГБ,60 Гц ,178 °,178 ° ,9.5 мс,,,Есть,,,Direct LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) QLED телевизор 55"" Hisense 55U7HQ",69 999 р.,5,141,Китай,1 год,VIDAA,160 Вт,"55"" (139.7 см) ",QLED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,,,Есть,Есть ,Есть,,Есть,,Есть,,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",Dolby Atmos&Vision,,Есть,,,,4 ,"2.0, 2.1",,,,,,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,76.7 см,123.3 см,30.7 см,,,,,,,16:9,"PAL, SECAM",,20 Вт,,1200:1,,U6.0,,,,120 Гц ,,,,,,Есть,,,Direct LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 50"" Hi VHIX-50U169MSY  ",18 999 р.,4,42,Беларусь,1 год,Яндекс.ТВ,,"50"" (127 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,,,Есть,,200x200 ,,Есть,Есть,Есть,"DVB-C, DVB-S, DVB-S2, DVB-T2 ",Dolby Digital,,,Есть,,,3 ,2.2,,Есть,,,Есть,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,71 см,,,,,,,,,16:9,"PAL, SECAM",2 ,16 Вт,,,Есть,,,,,60 Гц ,,,,,,,IPS,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 55"" Philips 55PUS7406/60",26 999 р.,5,68,Россия,1 год,Android TV,,"55"" (139.7 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,,Есть,Есть ,Есть,,,,Есть,200x100 ,,Есть,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",Dolby Atmos,,,,,,4 ,2.0,,,Есть,,Есть,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,,,,74.27 см,122.76 см,,,,,16:9,"PAL, SECAM",2 ,20 Вт,,,,Android 10.0,350 кд/м² ,,,60 Гц ,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 32"" Toshiba 32V35LE",19 999 р.,5,28,Россия,1 год,Android TV,60 Вт,"32"" (81.3 см) ",LED ,1366x768 Пикс (HD-Ready) ,,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,,,,Есть,100x200 ,Есть,Есть,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",,,Есть,,,,2 ,1.4,,,Есть,,,Есть ,3,Есть ,Есть,Есть ,,,,,Есть ,45.8 см,,,,,,,,,16:9,"PAL, SECAM",2 ,12 Вт,,,Есть,11,,,,60 Гц ,,,,,,,IPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 50"" Hisense 50A6BG",29 999 р.,5,320,Россия,1 год,VIDAA,120 Вт,"50"" (127 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,Есть,,Есть,Есть,Есть,,Есть,Есть,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",DTS Virtual X,,Есть,Есть,,,3 ,2.0,,,,,,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,70.9 см,,,,,,,,,16:9,"PAL, SECAM",2 ,2х8 Вт,,,,5.0,,,,60 Гц ,,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 55"" Haier 55 Smart TV S1",29 999 р.,5,54,Китай,1 год,Android TV,150 Вт,"55"" (139.7 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,,Есть,Есть,,,,,Есть,Есть,"DVB-C, DVB-T, DVB-S2, DVB-T2 ",NICAM стерео,,,,,Есть,4 ,2.1,,,,,Есть,,,,,,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,20 Вт,,6000:1,,11,300 кд/м² ,,,60 Гц ,178 °,178 ° ,6.5 мс,Есть,,Есть,,,Direct LED,Есть,Есть,,,,,,,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 55"" Artel A55LU8500",64 999 р.,5,51,Узбекистан,1 год,Android TV,140 Вт,"55"" (139.7 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,,Есть,Есть,,,Есть,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",Dolby Digital,,,,,,3 ,"2.0, 1.4",,,Есть,,Есть,Есть ,2,,,,,,,,,,,,,,,,,,16:9,"PAL, SECAM",,12 Вт,,4000:1,,11,350 кд/м² ,,,60 Гц ,178 °,178 ° ,8 мс,,,Есть,,,,Есть,,,,,,,,,,"MP3, AVI, DivX, MKV, JPEG, WMA",,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 50"" Philips 50PUS8057/60",33 999 р.,5,19,Россия,1 год,Android TV,,"50"" (127 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,Есть ,Есть,Есть,Есть,,Есть,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-C2, DVB-S2, DVB-T2 ",Dolby Atmos,,,,,,4 ,2.0,,,Есть,,Есть,Есть ,2,Есть ,Есть,Есть ,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,2х10 Вт,,,,11,,,,60 Гц ,,,,,,Есть,,,,,,,Есть,,,,,,,"MP3, AVI, MKV, MPEG4",,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 43"" Haier 43 Smart TV S3",33 999 р.,5,27,Китай,1 год,Android TV,110 Вт,"43"" (109.2 см) ",QLED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,Есть,,Есть,Есть,,,,,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",,19 Вт,Есть,Есть,,Есть,4 ,2.1,,Есть,,,Есть,Есть ,2,,,,,,,,,,,,,,,,,,16:9,"PAL, SECAM",,,,5000:1,Есть,11.0,250 кд/м² ,,,60 Гц ,178 °,178 ° ,8 мс,Есть,,Есть,,,,Есть,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 50"" Haier 50 Smart TV S1",27 999 р.,5,139,Китай,1 год,Android TV,120 Вт,"50"" (127 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,,Есть,Есть,,,,,Есть,Есть,"DVB-C, DVB-T, DVB-S2, DVB-T2 ",NICAM стерео,,,,,Есть,4 ,2.1,,,,,Есть,,,,,,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,20 Вт,,5000:1,,11,280 кд/м² ,,,60 Гц ,178 °,178 ° ,8 мс,Есть,,Есть,,,Direct LED,Есть,Есть,,,,,,,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 43"" Haier 43 Smart TV S1",22 999 р.,5,141,Россия,1 год,Android TV,74 Вт,"43"" (109.2 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,,Есть,Есть,,,,,Есть,Есть,"DVB-C, DVB-T, DVB-S2, DVB-T2 ",NICAM стерео,,,,,Есть,4 ,2.1,,,,,Есть,,,,,,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,19 Вт,,5000:1,,11,250 кд/м² ,,,60 Гц ,178 °,178 ° ,6.5 мс,Есть,,Есть,,,Direct LED,Есть,Есть,,,,,,,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) QLED телевизор 50"" Hisense 50E7HQ",34 999 р.,5,148,Россия,1 год,VIDAA,120 Вт,"50"" (127 см) ",QLED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,,,Есть,,Есть,,Есть,200x300 ,Есть,,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",Dolby Atmos&Vision,,Есть,,,,3 ,,,,,,,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,70.3 см,111.7 см,,,,,,,,16:9,"PAL, SECAM",,16 Вт,,3800:1,,5.0,,,,60 Гц ,,,,,,Есть,,,Direct LED,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 32"" Haier 32 Smart TV S1",15 999 р.,5,204,Россия,1 год,Android TV,57 Вт,"32"" (81.3 см) ",LED ,1920x1080 Пикс (Full HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,,Есть,Есть,,,,,Есть,Есть,"DVB-C, DVB-T, DVB-S2, DVB-T2 ",NICAM стерео,,,,,Есть,3 ,1.4,,,,,Есть,Есть ,,,,,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,16 Вт,,4000:1,,11,220 кд/м² ,,,60 Гц ,178 °,178 ° ,6.5 мс,Есть,,Есть,,,,Есть,Есть,,,,,,,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 43"" Hisense 43A6BG",24 999 р.,5,239,Россия,1 год,VIDAA,75 Вт,"43"" (109.2 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,Есть,,Есть,Есть,Есть,,Есть,Есть,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",DTS Virtual X,32 Вт,Есть,Есть,,,3 ,2.0,,,,,,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,,,,,,,,,,16:9,"PAL, SECAM",2 ,2х8 Вт,,,,5.0,,,,60 Гц ,,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) QLED телевизор 55"" Haier 55 Smart TV AX Pro",59 999 р.,5,186,Китай,1 год,Android TV,150 Вт,"55"" (139.7 см) ",QLED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,,Есть,Есть,,,Есть,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-C2, DVB-S2, DVB-T2 ",NICAM стерео,,Есть,Есть,,,4 ,,,,,,,,,,,,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,13 Вт,,5000:1,,11.0,350 кд/м² ,,,60 Гц ,176 °,176 ° ,8 мс,Есть,Есть,Есть,,,,Есть,Есть,,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 32"" Hisense 32A4K",14 999 р.,4,12,Россия,1 год,VIDAA,65 Вт,"32"" (81.3 см) ",LED ,1366x768 Пикс (HD-Ready) ,,Есть ,Есть ,,,,Есть,,,,Есть,200x200 ,Есть,Есть,,,"DVB-C, DVB-C2, DVB-S2, DVB-T2 ",NICAM Стерео,,,,,,3 ,1.4,,,,,,Есть ,2,Есть ,,Есть ,1,,,,Есть ,47.9 см,72.6 см,18.6 см,43 см,72.6 см,8.5 см,3.8 кг,,,16:9,"PAL, SECAM",2 ,12 Вт,,3000:1,,6.0,,,,60 Гц ,178 °,,,,,,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 50"" Philips 50PUS7406/60",21 999 р.,4,86,Россия,1 год,Android TV,,"50"" (127 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,,Есть,Есть ,Есть,,,,Есть,200x100 ,,Есть,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",Dolby Atmos,,,,,,4 ,2.0,,,Есть,,Есть,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,,,,67.73 см,111.22 см,,,,,16:9,"PAL, SECAM",2 ,20 Вт,,,,Android 10.0,350 кд/м² ,,,60 Гц ,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 32"" Realme RMT101",14 999 р.,5,161,Китай,1 год,Android TV,55 Вт,"32"" (81.3 см) ",LED ,1366x768 Пикс (HD-Ready) ,Есть ,Есть ,Есть ,Голосом ,,,,,,,,,,Есть,,Есть,"DVB-C, DVB-S, DVB-T, DVB-C2, DVB-S2, DVB-T2 ",Dolby Digital; Dolby Digital Plus,12 Вт,,,,,3 ,,,,,,,,,,Есть,Есть ,,,,,Есть ,47.5 см,72.4 см,18 см,42.5 см,72.4 см,8.4 см,4.2 кг,4.1 кг,Черный ,,"PAL, SECAM",,,,,,,,,,60 Гц ,,,,,,,AMVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 43"" Realme TV 43 RMV2004",24 999 р.,5,182,Китай,1 год,Android TV,100 Вт,"43"" (109.2 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,,Есть ,Голосом ,,,,,,,Есть,200x200 ,,,,Есть,"DVB-C, DVB-S, DVB-T, DVB-C2, DVB-S2, DVB-T2 ","Dolby Atmos, DTS",,,,,,3 ,,,,,,,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,62.4 см,96 см,25.9 см,56.3 см,96 см,7.6 см,6.5 кг,6.3 кг,Черный ,16:9,"PAL, SECAM",4 ,24 Вт,,,,,,,,60 Гц ,,,,,,,,UHD 4K 1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 43"" Haier 43 Smart TV S1",22 999 р.,4,7,Россия,1 год,Android TV,74 Вт,"43"" (109.2 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,,Есть,Есть,,,Есть,,Есть,Есть,"DVB-C, DVB-T, DVB-S2, DVB-T2 ",NICAM стерео,19 Вт,Есть,Есть,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,,,5000:1,,11,250 кд/м² ,,,60 Гц ,178 °,178 ° ,6.5 мс,Есть,,Есть,,UHD 4K,Direct LED,Есть,Есть,,,,,,,,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) QLED телевизор 43"" Hisense 43E7HQ",29 999 р.,5,54,Россия,1 год,,80 Вт,"43"" (109.2 см) ",QLED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,,Голосом ,,,,,,Есть,Есть,200x300 ,,Есть,,,"DVB-C, DVB-S2, DVB-T2 ",,,Есть,Есть,,,3 ,2.0,,,Есть,,Есть,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,61.1 см,96.3 см,22.3 см,56 см,96.3 см,7.4 см,,,,,,2 ,14 Вт,,,,,,,,60 Гц ,,,,,,,,,,Есть,Есть,,,,,,,,Есть,"MP3, AVI, MKV, JPEG, WMA",,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 40"" Hisense 40A4K",22 499 р.,5,9,Россия,1 год,VIDAA,74 Вт,"40"" (101.6 см) ",LED ,1920x1080 Пикс (Full HD) ,,Есть ,Есть ,,Есть,,Есть,,Есть,Есть,Есть,200x200 ,Есть,Есть,,Есть,"DVB-C, DVB-T, DVB-C2, DVB-S2, DVB-T2 ",NICAM стерео,,,,,,2 ,1.4,,Есть,,,Есть,Есть ,2,Есть ,,Есть ,,,1,,Есть ,,,,,,,,,,16:9,,2 ,14 Вт,,5000:1,,6.0,,,,60 Гц ,178 °,,,,,,VA,TruColor 1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) QLED телевизор 65"" Hisense 65E7HQ",59 999 р.,5,67,Россия,1 год,VIDAA,190 Вт,"65"" (165.1 см) ",QLED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,,,Есть,,Есть,,Есть,400x300 ,Есть,,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",Dolby Atmos&Vision,,Есть,,,,3 ,,,,,,,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,89.6 см,145.2 см,30 см,83.4 см,,,,,,16:9,"PAL, SECAM",,20 Вт,,,,U5.0,,,,60 Гц ,,,,,,Есть,,,Direct LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 40"" Hisense 40A4BG",19 999 р.,5,134,Россия,1 год,VIDAA,74 Вт,"40"" (101.6 см) ",LED ,1920x1080 Пикс (Full HD) ,,Есть ,Есть ,,Есть,,Есть,,Есть,Есть,Есть,,Есть,Есть,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",DTS Virtual X,28 Вт,Есть,Есть,,,2 ,2.0,,,,,,Есть ,2,Есть ,,Есть ,,,,,Есть ,55.9 см,89.3 см,18.2 см,,,,5.5 кг,,Черный ,16:9,"PAL, SECAM",,,5.4 кг,,,4.2,,,,60 Гц ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 40"" Hi VHIT-40F152MS",19 999 р.,5,249,Беларусь,1 год,,68 Вт,"40"" (101.6 см) ",LED ,1920x1080 Пикс (Full HD) ,,Есть ,,,Есть,Есть ,Есть,Есть ,Есть,,,200x200 ,,Есть,,Есть,"DVB-C, DVB-S2, DVB-T2 ",Dolby Digital,,,,Есть,,3 ,,,Есть,,,Есть,Есть ,2,,,,,,,,Есть ,57 см,91 см,19.5 см,52.6 см,91 см,7.8 см,,,Черный ,16:9,"PAL, SECAM",2 ,8 Вт,7 кг,1200:1,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 55"" Grundig 55 GFU 7800B",34 999 р.,5,49,Турция,1 год,Android TV,77.1 Вт,"55"" (139.7 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,,Есть,,Есть,,Есть,Есть,,,Есть,Есть,Есть,Есть,"DVB-S, DVB-C2, DVB-T2 ",Dolby Digital,,,,,,3 ,2.0,,,,,,Есть ,2,,Есть,Есть ,,,,,Есть ,77.3 см,123.7 см,26.3 см,,,,,,Черный ,,"PAL, SECAM",,16 Вт,10.8 кг,,,Android 9.0,,,,60 Гц ,,,,,,Есть,,UHD 4K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) QLED телевизор 65"" Hisense 65U8HQ",149 999 р.,5,19,Россия,1 год,VIDAA,280 Вт,"65"" (165.1 см) ",QLED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,,,Есть,,Есть,,Есть,400x300 ,Есть,,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",Dolby Atmos&Vision IQ,,Есть,,,,4 ,"2.0, 2.1",,,,,,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,91.4 см,145.2 см,30 см,,,,,,,16:9,"PAL, SECAM",,60 Вт,,,,VIDAA U6.0,,,,120 Гц ,,,,,,Есть,,,Mini LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 43"" Grundig 43 GFU 7800B",39 999 р.,4,46,Турция,1 год,Android TV,66.4 Вт,"43"" (109.2 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,,Есть,,Есть,,Есть,Есть,,,Есть,Есть,Есть,Есть,"DVB-S, DVB-C2, DVB-T2 ",Dolby Digital,,,,,,3 ,2.0,,,,,,Есть ,2,,Есть,Есть ,,,,,Есть ,61.9 см,96.8 см,24 см,,,,,,Черный ,,"PAL, SECAM",,16 Вт,7 кг,,,Android 9.0,,,,60 Гц ,,,,,,Есть,,UHD 4K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 50"" Toshiba 50C350KE",34 999 р.,5,234,Россия,1 год,VIDAA,130 Вт,"50"" (127 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,,Есть,Есть ,Есть,,Есть,Есть,,,Есть,Есть,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",DTS Studio Sound,,Есть,Есть,,Есть,3 ,2.1,,,Есть,,Есть,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,,,,,,,,,,16:9,"PAL, SECAM",2 ,2x8 Вт,,,,,,,,60 Гц ,,,,,,,,,,,,,,,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 55"" Toshiba 55C350LE",44 999 р.,5,17,Китай,1 год,VIDAA,130 Вт,"55"" (139.7 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,,,Есть,,Есть,Есть,Есть,200x300 ,Есть,Есть,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",DTS Virtual X,,,,,,3 ,2.1,,,,,Есть,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,,,,,,,,,,16:9,"PAL, SECAM",2 ,16 Вт,,,,5.0,,,,60 Гц ,,,,,,Есть,IPS,UHD 4K 1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 65"" Grundig 65 GHU 7830",62 999 р.,5,10,Турция,1 год,,85.1 Вт,"65"" (165.1 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,,Есть,Есть,Есть,200x100 ,Есть,Есть,,Есть,"DVB-C, DVB-S2, DVB-T2 ",Dolby Digital,,,,,,3 ,2.1,,,,,Есть,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,,,,,,,,,,16:9,"PAL, SECAM",2 ,2х10 Вт,,,,11,,,,60 Гц ,,,,,,Есть,,UHD 4K 1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
