Название,Цена,Рейтинг,Количество отзывов,Страна,Гарантия,Операционная система,Потребляемая мощность,Диагональ,Технология,Разрешение экрана,Поддержка HDR,Воспроизведение видео через USB,Smart TV,Управление,Таймер выключения,Часы,Защита от детей,Телетекст,Функция TimeShift,Запись телепередач (PVR),Разъем для модуля DVB CAM (слот CI),Стандарт VESA,Смартфон в качестве пульта ДУ,Пульт ДУ,Технология HDMI ARC,Цифровое шумоподавление,Поддерживаемые цифровые стандарты,Тип звуковой системы,Суммарная мощность,Композитный вход,Аудиовход RCA,Компонентный,Аудиовыход RCA,HDMI,Версия HDMI,Вход для ПК,Коаксиальный аудиовыход,Оптический аудиовыход,Оптический аудиовход,Выход для наушников,USB,Количество разъемов USB,Ethernet (LAN),Bluetooth,Wi-Fi,Вход 3.5 мм аудио,Вход 3.5 мм аудио/видео,Выход 3.5 мм аудио,Выход 3.5 мм аудио/видео,Подставка,Высота с подставкой,Ширина с подставкой,Глубина с подставкой,Высота,Ширина,Глубина,Вес с подставкой,Вес без подставки,Цвет,Формат,Цветовая система,Кол-во встроенных динамиков,Мощность,Вес,Контрастность,Коаксиальный аудиовход,Версия ОС на начало продаж,Яркость,Объем встроенной памяти,Объем оперативной памяти,Частота обновления,Угол обзора по вертикали,Угол обзора по горизонтали,Время отклика,Таймер включения,Любимые каналы,Масштабирование,Тип матрицы,Технологии улучшения изображения,Тип светодиодной подсветки,Объемное звучание,Эквалайзер,Акустическая схема,Гид по программам,Модель процессора,Количество ядер процессора,Производитель процессора,Автоматическая регулировка громкости,eARC,Батарейки для пульта ДУ,Поддерживаемые форматы,NFC,Композитный выход,Родительский контроль,Количество тюнеров,Слот для карт памяти,Динамическая контрастность,Технологии улучшения звука,Подсветка Ambilight,Картинка в картинке (PIP),Встроенный DVD-плеер,Встроенный сабвуфер,Мощность сабвуфера,Прогрессивная развертка,Изменение формата,Регулировка контрастности,Предустановки изображения,Русифицированное меню,Синий экран,Автоматическая настройка,Ручная настройка,Предустановки,SCART,Список программ,Частота процессора,Изогнутый экран
"Ultra HD (4K) LED телевизор 65"" Toshiba 65C350KE",54 999 р.,5,45,Россия,1 год,VIDAA,150 Вт,"65"" (165.1 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,,,Есть,Есть ,Есть,,Есть,Есть,,,Есть,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",DTS Studio Sound,34 Вт,Есть,Есть,,,3 ,2.1,,,Есть,,Есть,Есть ,2,Есть ,Есть,Есть ,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,2 x 7 Вт,,,,,,,,60 Гц ,,,,,,,IPS,,,,,,,Quad Core/NT72671D,,,,,,,,,,,,,,,,,Есть ,20 Вт,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 43"" Artel UA43H3502",24 999 р.,5,154,Узбекистан,1 год,Android TV,65 Вт,"43"" (109.2 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,,Есть ,Есть ,Голосом ,,Есть ,Есть,,,Есть,Есть,300x300 ,,Есть,,Есть,"DVB-C, DVB-S, DVB-T, DVB-C2, DVB-S2, DVB-T2 ",,,Есть,,Есть,,2 ,,,,,,Есть,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,61.5 см,96.2 см,,,,,,,,16:9,"PAL, SECAM",2 ,20 Вт,,,,9.0,,16 ГБ,2 ГБ,60 Гц ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 43"" Haier 43 Smart TV MX",23 999 р.,4,120,Россия,1 год,Android TV,86 Вт,"43"" (109.2 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,,Голосом ,Есть,Есть ,Есть,,Есть,,Есть,200x200 ,,Есть,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-C2, DVB-S2, DVB-T2 ",NICAM стерео,,,Есть,,,1 ,2.0,,,Есть,Есть,Есть,Есть ,2,,Есть,Есть ,,,,,Есть ,,,,,,,,,,16:9,"PAL, SECAM",2 ,8 Вт,,,,Android 9.0,,,,60 Гц ,,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UHD (4K) OLED телевизор 55"" Philips 55OLED807/12",159 999 р.,5,16,Польша,1 год,Android TV,,"55"" (139.7 см) ",OLED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,Есть ,Есть,,,,Есть,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",,70 Вт,,,,,4 ,2.1,,,Есть,,Есть,Есть ,3,,,,,,,,,,,,,,,,,,16:9,"PAL, SECAM",4 ,40 Вт,,,,11.0,,,,120 Гц ,,,,,,Есть,,,,,,2.1,Есть,P5 AI Perfect Picture,,,,Есть,,,,,,,,,,Есть,,,Есть ,30 Вт,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 50"" Витязь 50LU1204 Smart",17 999 р.,4,109,Беларусь,1 год,Android TV,179 Вт,"50"" (127 см) ",,3840x2160 Пикс (4K Ultra HD) ,,Есть ,Есть ,,Есть,Есть ,,Есть ,,,,200x200 ,,,,Есть,"DVB-C, DVB-S2, DVB-T2 ",Dolby Digital 2.0,,,,,,3 ,,,Есть,,,,Есть ,2,Есть ,,Есть ,,,,,Есть ,,,,71 см,112 см,25.8 см,,,,16:9,"PAL, SECAM",2 ,8 Вт,10.9 кг,,Есть,Android 9.0,250 кд/м² ,,,,,,,,,Есть,,,,,,,,,,,,,,"MP3, JPEG, MPEG4",,,,,,5000:1,,,,,,,,,,,,,,,,,,,
"LED телевизор 50"" Hi VHIX-50U169TSY Titanium",16 999 р.,5,61,Беларусь,1 год,Яндекс.ТВ,68 Вт,"50"" (127 см) ",,3840x2160 Пикс (4K Ultra HD) ,,,Есть ,,Есть,Есть ,Есть,,,Есть,,200x200 ,,,,Есть,"DVB-C, DVB-S2, DVB-T2 ",,,,Есть,,,3 ,,,Есть,,,Есть,,2,Есть ,,Есть ,,,,,,77.3 см,123.3 см,25.8 см,71.2 см,123.3 см,8 см,,,Серый ,16:9,"PAL, SECAM",2 ,8 Вт,11.5 кг,,Есть,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 50"" Haier Smart TV MX",28 999 р.,4,116,Россия,1 год,,120 Вт,"50"" (127 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,,Есть ,Голосом ,Есть,Есть ,,,Есть,Есть,Есть,200x200 ,Есть,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-C2, DVB-S2, DVB-T2 ",NICAM стерео,,,Есть,Есть,Есть,4 ,2.0,,,Есть,Есть,Есть,Есть ,2,Есть ,Есть,Есть ,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,2х10 Вт,,,,,,,,60 Гц ,,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 50"" Haier Smart TV MX",28 999 р.,4,116,Россия,1 год,,120 Вт,"50"" (127 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,,Есть ,Голосом ,Есть,Есть ,,,Есть,Есть,Есть,200x200 ,Есть,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-C2, DVB-S2, DVB-T2 ",NICAM стерео,,,Есть,Есть,Есть,4 ,2.0,,,Есть,Есть,Есть,Есть ,2,Есть ,Есть,Есть ,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,2х10 Вт,,,,,,,,60 Гц ,,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 32"" Hi VHIT-32F102SS Silver",9 399 р.,4,82,Беларусь,1 год,,35 Вт,"32"" (81.3 см) ",,1920x1080 Пикс (Full HD) ,,,,,Есть,Есть ,Есть,,,Есть,,,,,,Есть,"DVB-C, DVB-S2, DVB-T2 ",,,,,,,3 ,2.2,,Есть,,,Есть,,1,,,,,,,,,"47,4 см",73 см,"18,7 см",43.1 см,73 см,7.8 см,,,Серебристый ,16:9,"PAL, SECAM",2 ,8 Вт,3.6 кг,,Есть,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 43"" Toshiba 43C350KE",27 499 р.,5,109,Россия,1 год,VIDAA,80 Вт,"43"" (109.2 см)",LED,3840x2160 Пикс (4K Ultra HD),Есть,,Есть,,Есть,Есть,Есть,,Есть,Есть,,200x300,Есть,Есть,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2",DTS Studio Sound,,,Есть,,,3,2.1,,,Есть,,Есть,Есть,2,Есть,Есть,Есть,,,,,Есть,,,,,,,,,,16:10,"PAL, SECAM",2,2 x 7 Вт,,,,VIDAA U5.0,,,,60 Гц,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 55"" Витязь 55LU1207 Smart",19 999 р.,4,96,Беларусь,1 год,Android TV,,"55"" (139.7 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,,Есть ,Есть ,,Есть,Есть ,Есть,Есть ,,,,400x200 ,,,,Есть,"DVB-C, DVB-S2, DVB-T2 ",Dolby Digital 2.0,,,,Есть,,3 ,,,Есть,,,Есть,Есть ,2,Есть ,,Есть ,,,,,Есть ,79 см,124.8 см,,,,,,,,16:9,"PAL, SECAM",2 ,8 Вт,,5000:1,Есть,,250 кд/м² ,,,,178 °,178 ° ,8 мс,,,,,,,,,,Есть,,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 32"" Grundig 32 GGH 6900B",24 999 р.,5,21,Турция,1 год,Android TV,27.2 Вт,"32"" (81.3 см) ",LED ,1366x768 Пикс (HD-Ready) ,,Есть ,Есть ,,Есть,,Есть,,Есть,Есть,,,Есть,Есть,Есть,Есть,"DVB-S, DVB-C2, DVB-T2 ",Dolby Digital,,,,,,2 ,2.0,,,,,,Есть ,1,,Есть,Есть ,,,,,Есть ,45.5 см,72.1 см,16.8 см,,,,,,Черный ,,"PAL, SECAM",,16 Вт,3.6 кг,,,Android 9.0,,,,60 Гц ,,,,,,Есть,,UHD 4K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) OLED телевизор 55"" Grundig 55 OLED GG 970B",149 999 р.,5,24,Турция,1 год,Android TV,101 Вт,"55"" (139.7 см) ",OLED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,Есть,,Есть,Есть,,,Есть,Есть,Есть,Есть,"DVB-S, DVB-C2, DVB-T2 ",Dolby Atmos,,,,,,3 ,2.1,,,,,,Есть ,2,,Есть,Есть ,,,,,Есть ,79.4 см,122.8 см,31.7 см,,,,,,,,"PAL, SECAM",,20 Вт,25 кг,,,Android 11.0,,,,60 Гц ,,,,,,Есть,,UHD 4K 1000,,,,,,,,,,,,,,,,,,,Dolby Vision,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 65"" Haier 65 Smart TV MX",54 999 р.,5,63,Китай,1 год,Android TV,,"65"" (165.1 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,,Есть,,Есть,400x200 ,Есть,,,Есть,"DVB-C, DVB-S, DVB-T, DVB-C2, DVB-S2, DVB-T2 ",,,,Есть,Есть,,4 ,,,,Есть,,Есть,Есть ,2,Есть ,Есть,Есть ,,,,,,89.9 см,144.8 см,30 см,,,,,,,16:9,"PAL, SECAM",2 ,10 Вт,,,,9.0,,,,60 Гц ,,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 24"" Novex NWX-24H121WSY",8 699 р.,4,53,Беларусь,1 год,Яндекс.ТВ,25 Вт,"24"" (61 см) ",LED ,1366x768 Пикс (HD-Ready) ,,Есть ,,Голосом ,Есть,Есть ,Есть,,,,Есть,,,Есть,,Есть,"DVB-C, DVB-S, DVB-T, DVB-T2 ",,,,,Есть,,1 ,,,Есть,,,Есть,Есть ,2,Есть ,,Есть ,,,,,,,,,36.3 см,55.2 см,15.1 см,,,Белый ,16:9,"PAL, SECAM",2 ,3 Вт,2.5 кг,,Есть,,,,,50 Гц ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) OLED телевизор 55"" LG OLED55C14LB",139 999 р.,5,135,Россия,1 год,WebOS,109 Вт,"55"" (139.7 см) ",OLED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,,Есть ,Голосом ,Есть,Есть ,Есть,,,,Есть,300x200 ,Есть,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",OLED Surround,40 Вт,,,,,4 ,2.1,,,Есть,,Есть,Есть ,3,Есть ,Есть,Есть ,,,,,,,,,,,,,,,16:9,,,2x10 Вт,,,,,,,,120 Гц ,,,,,,Есть,,,,Есть,,2.2,,,,,,,,,Есть,,,,,,,,,,Есть ,2x10 Вт,,,,,,,,,,,,,
"LED телевизор 32"" Samsung UE32N4010AUXRU",13 999 р.,5,116,Россия,1 год,,,"32"" (81.3 см) ",LED ,1366x768 Пикс (HD-Ready) ,,,,,Есть,Есть ,Есть,Есть ,,,Есть,100x100 ,,Есть,,Есть,"DVB-C, DVB-S2, DVB-T2 ",Dolby Digital Plus,,Есть,,Есть,,2 ,1.4,,,Есть,,,Есть ,1,,,,,,,,Есть ,46.5 см,73.7 см,15 см,43.8 см,72.7 см,7.41 см,3.9 кг,,,16:9,"PAL, SECAM",2 ,10 Вт,3.8 кг,,,,200 кд/м² ,,,,,,,Есть,,,,,,,,,,,,,,,Есть,,,,,1 ,,,,,Есть ,,,,,,,,,,,,,,,,
"LED телевизор 32"" TCL LED32D3000",8 499 р.,5,14,Китай,1 год,,50 Вт,"32"" (81.3 см) ",LED ,1366x768 Пикс (HD-Ready) ,,Есть ,,,Есть,,Есть,Есть ,,,Есть,100x100 ,,Есть,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",,,Есть,,Есть,,2 ,,,,,,,Есть ,1,,,,,,,,Есть ,,,,,,,,,,16:9,"NTSC, PAL, SECAM",2 ,10 Вт,,3000 :1,Есть,,200 кд/м² ,,,60 Гц ,178 °,178 ° ,6.5 мс,,,,,,,Есть,,,Есть,,,,,,,,,,,,,,,,,,,,Есть,Есть,Есть,Есть,,,,,,,,,
"Ultra HD (4K) LED телевизор 65"" LG 65UQ80006LB",67 199 р.,5,14,Россия,1 год,WebOS,130 Вт,"65"" (165.1 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,,Есть ,Голосом ,,,Есть,Есть ,Есть,,Есть,,Есть,Есть,,Есть,"DVB-C, DVB-S, DVB-T, DVB-C2, DVB-S2, DVB-T2 ",,,,,,,2 ,,,,,,,,,Есть ,Есть,Есть ,,,,,Есть ,90.2 см,145 см,26.7 см,,,,,,Серый ,,,2 ,20 Вт,21.8 кг,,,,,,,60 Гц ,,,,,,Есть,,,,,,,,,,,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) QLED телевизор 65"" Toshiba 65C450KE",74 999 р.,5,28,Китай,1 год,VIDAA,190 Вт,"65"" (165.1 см) ",QLED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,,,Есть,,Есть,Есть,Есть,200x300 ,Есть,Есть,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",Dolby Atmos,,Есть,Есть,,,3 ,2.1,,,,,,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,89.4 см,145.2 см,,,,,,,,,"PAL, SECAM",,20 Вт,,,,5.0,,,,60 Гц ,,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 65"" Hi VHIX-65U169MSY  ",28 999 р.,4,36,Беларусь,1 год,Яндекс.ТВ,180 Вт,"65"" (165.1 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,,,Есть,,400x400 ,,Есть,,Есть,"DVB-C, DVB-S, DVB-S2, DVB-T2 ",Dolby Digital 2.0,,,,Есть,,3 ,2.0,,Есть,,,Есть,Есть ,1,Есть ,Есть,Есть ,,,,,Есть ,89.5 см,145.3 см,25.8 см,,,,,,,16:9,"PAL, SECAM",2 ,2х8 Вт,,,Есть,,,,,60 Гц ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 55"" Haier LE55U6900UG",33 999 р.,5,70,Китай,1 год,Android TV,,"55"" (139.7 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,,Есть ,,Голосом ,Есть,Есть ,Есть,,Есть,,,400x200 ,,,,Есть,"DVB-C, DVB-S, DVB-T, DVB-C2, DVB-S2, DVB-T2 ",Surrounding Sound,,,Есть,Есть,,4 ,2.0,,,Есть,,,Есть ,,Есть ,,Есть ,,,,,,76.9 см,123.4 см,27.8 см,72 см,123.4 см,7.4 см,,,,16:9,"PAL, SECAM",2 ,10 Вт,12.54 кг,3000:1,,9.0,,8 ГБ,,60 Гц ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 24"" Hi VHIX-24H152MSY",7 499 р.,4,226,Беларусь,1 год,Яндекс.ТВ,25 Вт,"24"" (61 см) ",LED ,1366x768 Пикс (HD-Ready) ,,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,Есть ,,,,100x100 ,,Есть,,Есть,"DVB-C, DVB-S2, DVB-T2 ",,,,,Есть,,3 ,,,Есть,,,Есть,Есть ,2,Есть ,,Есть ,,,,,Есть ,,,,38.5 см,59.6 см,16.8 см,,,Черный ,16:9,"PAL, SECAM",2 ,3 Вт,2.5 кг,3000:1,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 32"" Samsung UE32N4000AUXRU",18 299 р.,5,148,Россия,1 год,,,"32"" (81.3 см) ",LED ,1366x768 Пикс (HD-Ready) ,,,,,Есть,Есть ,,Есть ,,,,100x100 ,,,,,,,,Есть,,,Есть,2 ,1.4,Есть,,,Есть,,Есть ,,,,,,,,,,,,,,,,,,,16:9,"NTSC, PAL, SECAM",2 ,10 Вт,,,,,1500 кд/м² ,2 ГБ,,,178 °,178 ° ,,Есть,,Есть,,"Motion Plus, Wide Color Enhancer Pro",,Есть,,,Есть,,,,,,,,,Есть,,2 ,,Mega,,,,,,,Есть,,,Есть,Есть,Есть,Есть,Есть,Есть,Есть,,,
"LED телевизор 43"" Samsung UE43T5300AUXRU",44 199 р.,5,50,Россия,1 год,Tizen,120 Вт,"43"" (109.2 см) ",LED ,1920x1080 Пикс (Full HD) ,Есть ,Есть ,Есть ,,Есть,Есть ,Есть,,,,Есть,200x200 ,,Есть,Есть,Есть,"DVB-C, DVB-S2, DVB-T2 ",Dolby Digital Plus,,,Есть,Есть,,2 ,2.0,,,Есть,,,Есть ,1,Есть ,,Есть ,,,,,,59.6 см,97.9 см,17 см,57.2 см,97.9 см,,,,,16:9,,,10 Вт,,,,,,,,60 Гц ,,,,,,,,1000 PQI,,,,,,,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 65"" Витязь 65LU1204 Smart",28 999 р.,5,43,Беларусь,1 год,Android TV,179 Вт,"65"" (165.1 см) ",,3840x2160 Пикс (4K Ultra HD) ,,Есть ,Есть ,,Есть,Есть ,,Есть ,,,,400x400 ,,,,Есть,"DVB-C, DVB-S2, DVB-T2 ",Dolby Digital 2.0,,,,,,3 ,,,Есть,,,,Есть ,2,Есть ,,Есть ,,,,,Есть ,,,,90 см,146 см,25.8 см,,,,16:9,"PAL, SECAM",2 ,8 Вт,18.6 кг,,Есть,Android 9.0,250 кд/м² ,,,,,,,,,Есть,,,,,,,,,,,,,,"MP3, JPEG, MPEG4",,,,,,5000:1,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 50"" LG NanoCell 50NANO766PA",47 999 р.,4,15,Россия,1 год,WebOS,84 Вт,"50"" (127 см) ",NanoCell ,3840x2160 Пикс (4K Ultra HD) ,Есть ,,Есть ,Голосом ,Есть,Есть ,Есть,,,,Есть,200x200 ,Есть,Есть,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",Ultra Surround,,,,,,3 ,2.0,,,Есть,,,,2,Есть ,Есть,Есть ,,,,,,,,,70.2 см,112.1 см,24.9 см,13.7 кг,,,16:9,"PAL, SECAM",1 ,2х10 Вт,,,,,,,,60 Гц ,,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 70"" LG 70UP81006LA",99 999 р.,5,9,Россия,1 год,WebOS,140 Вт,"70"" (177.8 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,,,,Есть ,,,,400x400 ,Есть,Есть,,Есть,"DVB-C, DVB-S, DVB-T, DVB-C2, DVB-S2, DVB-T2 ",Ultra Surround,,,,,Есть,3 ,2.0,,,Есть,,,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,,,,98.6 см,156.2 см,,,,,16:9,,2 ,20 Вт,,,,,,,,60 Гц ,,,,,,Есть,,True Color Accuracy,Direct LED,,,,,,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 32"" Samsung UE32T5300AU",20 999 р.,5,23,Вьетнам,1 год,Tizen,80 Вт,"32"" (81.3 см) ",LED ,1920x1080 Пикс (Full HD) ,Есть ,Есть ,Есть ,,Есть,Есть ,Есть,,,,Есть,,,,Есть,Есть,"DVB-C, DVB-S2, DVB-T2 ",Dolby Digital Plus,,,Есть,Есть,,2 ,2.0,,,Есть,,,Есть ,1,Есть ,,Есть ,,,,,Есть ,46.54 см,73.74 см,15.05 см,43.8 см,73.74 см,7.41 см,,4 кг,,16:9,"PAL, SECAM",,10 Вт,,,,,,,,50 Гц ,,,,,,,,Hyper Real 1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 32"" Витязь 32LH1215",8 499 р.,5,38,Беларусь,1 год,Android TV,55 Вт,"32"" (81.3 см) ",LED ,1366x768 Пикс (HD-Ready) ,,Есть ,Есть ,,Есть,,Есть,,Есть,Есть,,100x100 ,,Есть,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",Dolby Digital Plus,,,,,Есть,2 ,1.3,,,Есть,,Есть,,2,Есть ,,Есть ,,,,,Есть ,,,,46.4 см,71.3 см,10.8 см,5.1 кг,3.9 кг,,16:9,,2 ,2х8 Вт,,,,11,,,,60 Гц ,,,,,,,IPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 24"" Novex NWT-24H133SS Silver",5 999 р.,4,20,Беларусь,1 год,,25 Вт,"24"" (61 см) ",LED ,1366x768 Пикс (HD-Ready) ,,Есть ,,,Есть,Есть ,Есть,,,Есть,,,,Есть,,Есть,"DVB-C, DVB-T, DVB-S2, DVB-T2 ",,,,,,,1 ,,,Есть,,,Есть,Есть ,2,,,,,,,,,"36,6 см",55.2 см,"15,1 см",33.2 см,55.2 см,6.7 см,,,Серебристый ,16:9,"PAL, SECAM",2 ,3 Вт,2.2 кг,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 70"" Philips 70PUS7956/60",79 999 р.,5,35,Россия,1 год,Android TV,,"70"" (177.8 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,,Есть,Есть ,Есть,,,Есть,Есть,300x300 ,,Есть,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",Dolby Atmos,,,,,,4 ,2.0,,,Есть,,Есть,Есть ,2,Есть ,Есть,Есть ,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,20 Вт,,,,Android 10.0,350 кд/м² ,,,60 Гц ,,,,,,Есть,,,,,,2.0,,,,,,,,,,,,,,,,Есть,,,,,,,,,,,,,,,,,
"LED телевизор 43"" Novex NWT-43F171MS",11 999 р.,4,25,Беларусь,1 год,,68 Вт,"43"" (109.2 см) ",LED ,1920x1080 Пикс (Full HD) ,,Есть ,,,Есть,Есть ,Есть,,,,Есть,,,Есть,,Есть,"DVB-C, DVB-S2, DVB-T2 ",Dolby Digital 2.0,,,,Есть,,3 ,,,Есть,,,Есть,Есть ,1,,,,,,,,,,,,64 см,103 см,21.2 см,,,Черный ,16:9,"PAL, SECAM",2 ,8 Вт,7 кг,,Есть,,,,,50 Гц ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 32"" LG 32LQ630B6LA",19 999 р.,5,18,Россия,1 год,WebOS,48 Вт,"32"" (81.3 см) ",LED ,1366x768 Пикс (HD-Ready) ,Есть ,Есть ,Есть ,,Есть,Есть ,Есть,Есть ,,,Есть,200x200 ,Есть,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",AI Sound,,,,,,2 ,1.4,,,Есть,,,Есть ,1,Есть ,Есть,Есть ,,,,,,,,,,,,,,,,"PAL, SECAM",2 ,10 Вт,,,,,,,,60 Гц ,,,,,,,IPS,,Direct LED,,,2.0,Есть,,4,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 32"" Hi VHIX-32F102TSY",11 899 р.,4,54,Беларусь,1 год,Яндекс.ТВ,35 Вт,"32"" (81.3 см) ",LED ,1920x1080 Пикс (Full HD) ,,Есть ,Есть ,,Есть,Есть ,Есть,,,,,,,Есть,,Есть,"DVB-C, DVB-S2, DVB-T2 ",Dolby Digital 2.0,,,,Есть,,3 ,2.2,,Есть,,,Есть,Есть ,2,Есть ,,Есть ,,,,,Есть ,47.4 см,73 см,18.7 см,,,,,,Серый ,16:9,,2 ,2х7 Вт,3.6 кг,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 40"" TCL L40S65A",16 999 р.,5,14,Китай,1 год,Android TV,75 Вт,"40"" (101.6 см) ",LED ,1920x1080 Пикс (Full HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,,,,,,,Есть,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",,,,,,,1 ,,,,,,,Есть ,1,Есть ,Есть,Есть ,,,,,Есть ,,,,,,,,,Черный ,16:9,"PAL, SECAM",2 ,16 Вт,6.31 кг,,,,,,,60 Гц ,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) QLED телевизор 50"" Samsung QE50Q60BAUXCE",64 999 р.,5,18,Россия,1 год,Tizen,145 Вт,"50"" (127 см) ",QLED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,,Есть ,Есть,Есть ,Есть,,,200x200 ,Есть,,,,"DVB-S2, DVB-T2 ",,20 Вт,,,,,1 ,2.0,,,Есть,,,Есть ,2,Есть ,Есть,Есть ,,,,,,,,,,,,,,,16:9,,2 ,2х10 Вт,,,,,,,,60 Гц ,,,,,,Есть,,Quantum Processor Lite 4K,,,,,,Quantum 4K Lite,,Samsung,,,,,,,,1 ,,,Dolby Digital Plus,,,,,,,,,,,,Есть,,,,,,
