Название,Цена,Рейтинг,Количество отзывов,Страна,Гарантия,Операционная система,Потребляемая мощность,Диагональ,Технология,Разрешение экрана,Поддержка HDR,Воспроизведение видео через USB,Smart TV,Управление,Таймер выключения,Часы,Защита от детей,Телетекст,Функция TimeShift,Запись телепередач (PVR),Разъем для модуля DVB CAM (слот CI),Стандарт VESA,Смартфон в качестве пульта ДУ,Пульт ДУ,Технология HDMI ARC,Цифровое шумоподавление,Поддерживаемые цифровые стандарты,Тип звуковой системы,Суммарная мощность,Композитный вход,Аудиовход RCA,Компонентный,Аудиовыход RCA,HDMI,Версия HDMI,Вход для ПК,Коаксиальный аудиовыход,Оптический аудиовыход,Оптический аудиовход,Выход для наушников,USB,Количество разъемов USB,Ethernet (LAN),Bluetooth,Wi-Fi,Вход 3.5 мм аудио,Вход 3.5 мм аудио/видео,Выход 3.5 мм аудио,Выход 3.5 мм аудио/видео,Подставка,Высота с подставкой,Ширина с подставкой,Глубина с подставкой,Высота,Ширина,Глубина,Вес с подставкой,Вес без подставки,Цвет,Формат,Цветовая система,Кол-во встроенных динамиков,Мощность,Вес,Контрастность,Коаксиальный аудиовход,Версия ОС на начало продаж,Яркость,Объем встроенной памяти,Объем оперативной памяти,Частота обновления,Угол обзора по вертикали,Угол обзора по горизонтали,Время отклика,Таймер включения,Любимые каналы,Масштабирование,Тип матрицы,Технологии улучшения изображения,Тип светодиодной подсветки,Объемное звучание,Эквалайзер,Акустическая схема,Гид по программам,Модель процессора,Количество ядер процессора,Производитель процессора,Автоматическая регулировка громкости,eARC,Батарейки для пульта ДУ,Поддерживаемые форматы,NFC,Композитный выход,Родительский контроль,Количество тюнеров,Слот для карт памяти,Динамическая контрастность,Технологии улучшения звука,Подсветка Ambilight,Картинка в картинке (PIP),Встроенный DVD-плеер,Встроенный сабвуфер,Мощность сабвуфера,Прогрессивная развертка,Изменение формата,Регулировка контрастности,Предустановки изображения,Русифицированное меню,Синий экран,Автоматическая настройка,Ручная настройка,Предустановки,SCART,Список программ,Частота процессора,Изогнутый экран
"Ultra HD (4K) QLED телевизор 43"" Samsung QE43Q60BAU",57 999 р.,5,16,Узбекистан,1 год,Tizen,69 Вт,"43"" (109.2 см) ",QLED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,,Есть,,Есть,,Есть,,Есть,Есть,"DVB-C, DVB-S2, DVB-T2 ",Dolby Digital Plus,,,,,,3 ,2.0,,,,,,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,59.98 см,96.55 см,20.56 см,,,,8.9 кг,,,16:9,"PAL, SECAM",,20 Вт,,,,,,,,60 Гц ,,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 55"" LG 55UQ76003LD",47 999 р.,5,14,Россия,1 год,WebOS,,"55"" (139.7 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,,Есть ,,,Есть,300x300 ,,Есть,Есть,,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",,,Есть,,,,2 ,2.0,,,Есть,,,Есть ,1,Есть ,Есть,Есть ,,,,,Есть ,77.5 см,121.5 см,17.5 см,,,,,,,16:9,"PAL, SECAM",2 ,20 Вт,12 кг,,,,,,,60 Гц ,,,,,,,,,,,,2.0,,,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 65"" Haier 65 Smart TV S1",48 999 р.,5,29,Китай,1 год,Android TV,170 Вт,"65"" (165.1 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,,Есть,Есть,,,,,Есть,Есть,"DVB-C, DVB-T, DVB-S2, DVB-T2 ",NICAM стерео,,,,,Есть,4 ,2.1,,,,,Есть,,,,,,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,20 Вт,,6000:1,,11,300 кд/м² ,,,60 Гц ,178 °,178 ° ,6.5 мс,Есть,,Есть,,,Direct LED,Есть,Есть,,,,,,,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 24"" V-HOME 24LH1211",7 199 р.,4,28,Беларусь,1 год,Яндекс.ТВ,,"24"" (61 см) ",LED ,1366x768 Пикс (HD-Ready) ,,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,,,Есть,,100x100 ,,Есть,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",Dolby Digital,,,Есть,,,3 ,,,,,,,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,48.6 см,77.5 см,11.7 см,,,,3.5 кг,,,16:9,"PAL, SECAM",2 ,16 Вт,2.6 кг,,Есть,,,,,60 Гц ,,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 40"" Harper 40F660TS Bl",16 790 р.,5,4,Россия,1 год,Android TV,,"40"" (101.6 см) ",LED ,1920x1080 Пикс (Full HD) ,,,Есть ,,,,,,Есть,,,400x200 ,,,,,"DVB-C, DVB-T2 ",,,,,Есть,,3 ,,,,,,Есть,Есть ,2,Есть ,,Есть ,,,,,,55.7 см,90.8 см,23.2 см,52.2 см,90.8 см,7.7 см,7.88 кг,,Черный ,16:9,,2 ,2х10 Вт,,80000:1,,,240 кд/м² ,4 ГБ,,60 Гц ,178 °,178 ° ,8 мс,,,,,,,,,,,,,,,,,,,Есть,,,,,,,,,,,,,,,,,,,,Есть,,,
"Ultra HD (4K) LED телевизор 55"" Samsung UE55AU7002U",44 999 р.,5,6,Россия,1 год,Tizen,162 Вт,"55"" (139.7 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,,Есть,Есть ,Есть,,Есть,Есть,Есть,200x200 ,Есть,,Есть,Есть,"DVB-C, DVB-S2, DVB-T2 ",Dolby Audio,,,,,,4 ,2.1,,,Есть,,,Есть ,1,Есть ,Есть,Есть ,,,,,Есть ,,,,,,,,,,,"PAL, SECAM",2 ,2x10 Вт,,,,,,,,60 Гц ,,,,,,Есть,,,Direct LED,,,,,UHD 4K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) OLED телевизор 48"" LG OLED48A2RLA",82 999 р.,5,10,Россия,1 год,WebOS,240 Вт,"48"" (121.9 см) ",OLED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,Есть ,,,Есть,300x200 ,Есть,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",AI Sound Pro,,,,,,3 ,2.0,,,Есть,,,Есть ,2,Есть ,Есть,Есть ,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,20 Вт,,,,,,,,60 Гц ,,,,,,Есть,,,,,,2.0,Есть,,,,,Есть,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 24"" Supra STV-LC24ST0045W",9 990 р.,4,9,Россия,1 год,,36 Вт,"24"" (61 см) ",LED ,1366x768 Пикс (HD-Ready) ,,Есть ,Есть ,,Есть,,,Есть ,,,Есть,100x100 ,,Есть,,,"DVB-C, DVB-T, DVB-T2 ",Стерео,,,,,,2 ,,,Есть,,,Есть,Есть ,2,Есть ,,Есть ,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,2 x 5 Вт,,,,Android 9.0,200 кд/м² ,8 ГБ,1 ГБ,60 Гц ,178 °,178 ° ,8 мс,,,,,,,,,,,Cortex-A55 quad core,,ARM,,,,"AVI, MKV, JPEG, MPEG4",,,,3 ,,80000:1,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 55"" Haier 55 Smart TV S3",39 999 р.,5,26,Китай,1 год,Android TV,170 Вт,"55"" (139.7 см) ",QLED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,,Есть,Есть,,,,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",NICAM стерео,,Есть,Есть,,Есть,4 ,2.1,,,Есть,,,,,,,,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,30 Вт,,6000:1,,11,320 кд/м² ,,,60 Гц ,178 °,178 ° ,6.5 мс,Есть,,Есть,,,,Есть,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 50"" LG 50UQ81009LC",41 999 р.,5,11,Россия,1 год,WebOS,130 Вт,"50"" (127 см) ",,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,,,,Есть,200x200 ,Есть,Есть,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",AI Sound,,,,,,2 ,2.0,,,Есть,,,Есть ,1,Есть ,Есть,Есть ,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,2x10 Вт,,,,,,,,60 Гц ,,,,,,Есть,,,,,,2.0,,α5 Gen5,,,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 50"" Samsung UE50BU8000U",54 999 р.,5,14,Россия,1 год,Tizen,78 Вт,"50"" (127 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,,,,,Есть ,,,Есть,200x200 ,,Есть,Есть,,"DVB-C, DVB-S2, DVB-T2 ",,,,,,,3 ,,,,Есть,,,Есть ,2,Есть ,Есть,Есть ,,,,,,,,,,,,,,,16:9,"NTSC, PAL, SECAM",2 ,20 Вт,,,,6.5,,,,50 Гц ,178 °,178 ° ,8 мс,,,Есть,VA,,Edge LED,,,2.0,Есть,Crystal Processor 4K,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 24"" Harper 24R490TS",9 900 р.,5,3,Россия,1 год,Android TV,40 Вт,"24"" (61 см) ",LED ,1366x768 Пикс (HD-Ready) ,Есть ,Есть ,Есть ,,Есть,,Есть,Есть ,Есть,Есть,,,,,,,"DVB-C, DVB-T, DVB-T2 ",,,,,,,2 ,1.4,,,,,Есть,Есть ,2,Есть ,,,,,,,,,,,,,,,,,16:9,"NTSC, PAL, SECAM",2 ,6 Вт,,60000:1,,9.0,200 кд/м² ,8 ГБ,1 ГБ,60 Гц ,178 °,178 ° ,8 мс,,,,VA,,Direct LED,Есть,Есть,,Есть,Cortex-A55,,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 43"" Samsung UE43BU8000U",44 999 р.,5,10,Узбекистан,1 год,Tizen,70 Вт,"43"" (109.2 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,,,,,Есть ,,,Есть,200x200 ,,Есть,Есть,,"DVB-C, DVB-S2, DVB-T2 ",,,,,,,3 ,,,,Есть,,,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,59.9 см,96.55 см,20.56 см,55.99 см,96.55 см,,,,,16:9,,2 ,20 Вт,,,,,,,,50 Гц ,,,8 мс,,,Есть,,,,,,,Есть,Crystal Processor 4K,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 32"" Samsung UE32N4000BU",18 299 р.,5,4,Узбекистан,1 год,,59 Вт,"32"" (81.3 см) ",,1366x768 Пикс (HD-Ready) ,,Есть ,,,Есть,Есть ,Есть,,,,Есть,,,Есть,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",Dolby Digital Plus,,Есть,,Есть,,2 ,1.4,,,Есть,,,Есть ,1,,,,,,,,Есть ,43.8 см,73.7 см,15 см,43.8 см,73.7 см,7.41 см,3.9 кг,3.8 кг,Черный ,16:9,"PAL, SECAM",,10 Вт,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,,Есть,,,
"Ultra HD (4K) LED телевизор 50"" LG NanoCell 50NANO769QA",47 999 р.,5,7,Россия,1 год,WebOS,130 Вт,"50"" (127 см) ",NanoCell ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,,,,Есть,200x200 ,Есть,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",AI Sound Pro,,,,,,3 ,2.0,,,Есть,,,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,,,,70.2 см,,,,,,16:9,"PAL, SECAM",2 ,2х10 Вт,,,,,,,,60 Гц ,,,,,,Есть,,,,,,,,,,,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 32"" Samsung UE32N4010AU",20 499 р.,5,10,Россия,1 год,,59 Вт,"32"" (81.3 см) ",LED ,1366x768 Пикс (HD-Ready) ,,Есть ,,,Есть,Есть ,Есть,Есть ,,,Есть,,,Есть,,Есть,"DVB-C, DVB-S2, DVB-T2 ",Dolby Digital Plus,,Есть,,,,2 ,1.4,,,Есть,,,Есть ,1,,,,,,,,Есть ,46.54 см,73.74 см,15.05 см,43.8 см,73.74 см,7.41 см,,,,16:9,"PAL, SECAM",2 ,10 Вт,,,,,,,,50 Гц ,,,,,,,,,,,,,,Hyper Real,,Samsung,,,Есть,,,,,1 ,,,,,Есть ,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 43"" LG NanoCell 43NANO756QA",35 999 р.,5,10,Китай,1 год,WebOS,82 Вт,"43"" (109.2 см) ",NanoCell ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,,Есть ,Есть,Есть ,,,Есть,,,,Есть,,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",AI Sound Pro,,,,,,3 ,2.0,,,Есть,,,Есть ,2,Есть ,Есть,Есть ,,,,,,,,,,,,,,,16:9,,2 ,20 Вт,,,,,,,,60 Гц ,178 °,178 ° ,,,,Есть,VA,,Direct LED,,,2.0,Есть,,4,,,Есть,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 55"" LG NanoCell 55NANO806QA",69 999 р.,5,15,Китай,1 год,WebOS,,"55"" (139.7 см) ",NanoCell ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,Есть ,,,,,Есть,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",AI Sound Pro,,,,,,4 ,2.0,,,Есть,,,Есть ,2,Есть ,Есть,Есть ,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,20 Вт,,,,,,,,60 Гц ,,,,,,Есть,IPS,,Edge LED,,,2.0,Есть,α5 Gen5 4K,4,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 40"" Grundig 40 GGF 6900B",34 999 р.,5,21,Турция,1 год,Android TV,45.5 Вт,"40"" (101.6 см) ",LED ,1920x1080 Пикс (Full HD) ,,Есть ,Есть ,,Есть,,Есть,,Есть,Есть,,,Есть,Есть,Есть,Есть,"DVB-S, DVB-C2, DVB-T2 ",Dolby Digital,,,,,,2 ,2.0,,,,,,Есть ,1,,Есть,Есть ,,,,,Есть ,55.37 см,89.36 см,20.12 см,51.62 см,89.36 см,8.69 см,,,,,"PAL, SECAM",,16 Вт,6.7 кг,,,Android 9.0,,,,60 Гц ,,,,,,Есть,,UHD 4K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) OLED телевизор 55"" LG OLED55A2RLA",97 999 р.,5,14,Россия,1 год,WebOS,130 Вт,"55"" (139.7 см) ",OLED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,,,Есть,,Есть,,Есть,,Есть,,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",Dolby Atmos,,,,,,3 ,,,,Есть,,,Есть ,2,Есть ,Есть,Есть ,,,,,,,,,,,,,,,16:9,,2 ,20 Вт,,,,,,,,60 Гц ,,,,,,Есть,,LG ThinQ,,,,2.0,Есть,α7 Gen5,,,,Есть,,,Есть,,,,,,AI Sound Pro,,,,,,,,Есть,,,,,,,,Есть,,
"LED телевизор 32"" LG 32LQ63806LC",19 999 р.,5,7,Россия,1 год,WebOS,53 Вт,"32"" (81.3 см) ",LED ,1920x1080 Пикс (Full HD) ,Есть ,Есть ,Есть ,,Есть,,Есть,Есть ,,,Есть,200x200 ,Есть,Есть,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",AI Sound,,,,,,2 ,1.4,,,Есть,,,Есть ,1,Есть ,Есть,Есть ,,,,,Есть ,46.4 см,73.6 см,18 см,,,,4.7 кг,,,16:9,,2 ,2х5 Вт,,,,,,,,60 Гц ,,,,,,,,,Direct LED,,,,,,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 43"" V-HOME 43LF0214",10 999 р.,5,12,Беларусь,1 год,,,"43"" (109.2 см) ",LED ,1920x1080 Пикс (Full HD) ,,Есть ,,,Есть,Есть ,Есть,,Есть,Есть,,200x200 ,,Есть,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",,,,Есть,,,3 ,1.3,,,,,Есть,Есть ,2,Есть ,,,,,,,Есть ,63.9 см,104.8 см,10.7 см,,104.8 см,,8.6 кг,,Черный ,16:9,"PAL, SECAM",2 ,16 Вт,6.8 кг,,Есть,,,,,60 Гц ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) QNED телевизор 55"" LG 55QNED816QA",74 999 р.,5,16,Индонезия,1 год,WebOS,160 Вт,"55"" (139.7 см) ",,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,,,,,Есть,,Есть,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",AI Sound Pro,,Есть,,,,4 ,2.1,,,Есть,,,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,78.1 см,123.3 см,27.1 см,,,,17.9 кг,,,16:9,"PAL, SECAM",2 ,2 Вт,,,,,,,,120 Гц ,,,,,,Есть,,,,,,,,,,,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 43"" LG 43UQ76003LD",32 999 р.,5,10,Китай,1 год,WebOS,,"43"" (109.2 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,Есть,Есть ,,,Есть,200x200 ,Есть,Есть,Есть,,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",AI Sound,,,,,,2 ,2.0,,,Есть,,,Есть ,1,Есть ,Есть,Есть ,,,,,Есть ,,,,,,,,,,16:9,,2 ,20 Вт,,,,,,,,60 Гц ,,,,,,Есть,,,Direct LED,,,2.0,Есть,,4,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 32"" Haier 32 Smart TV S1",15 999 р.,5,16,Россия,1 год,Android TV,57 Вт,"32"" (81.3 см) ",LED ,1920x1080 Пикс (Full HD) ,,Есть ,Есть ,Голосом ,Есть,,Есть,,Есть,Есть,,,Есть,,,Есть,"DVB-C, DVB-T, DVB-S2, DVB-T2 ",NICAM стерео,,Есть,Есть,,Есть,3 ,1.4,,,Есть,,Есть,Есть ,2,,,,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,2х8 Вт,,4000:1,,11,220 кд/м² ,,,60 Гц ,178 °,178 ° ,6.5 мс,,,Есть,,,,Есть,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) QLED телевизор 55"" Samsung QE55Q60BAU",79 999 р.,5,8,Россия,1 год,Tizen,77 Вт,"55"" (139.7 см) ",QLED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,,,Есть,,Есть,200x200 ,Есть,Есть,,,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",Dolby Digital Plus,,,,,,3 ,2.0,,,Есть,,,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,,,,74.8 см,123.2 см,22.9 см,16.2 кг,,,,"PAL, SECAM",,20 Вт,,,,,,,,60 Гц ,,,,,,Есть,,,,,,,,Quantum Processor 4K/ PQI 3100,,Qualcomm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 65"" LG 65UQ81009LC",76 999 р.,5,11,Россия,1 год,WebOS,185 Вт,"65"" (165.1 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,Есть ,,,,,Есть,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",AI Sound,,,,,,2 ,2.0,,,Есть,,,Есть ,1,Есть ,Есть,Есть ,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,20 Вт,,,,,,,,60 Гц ,,,,,,Есть,,,Direct LED,,,2.0,Есть,,4,,,Есть,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 75"" Hisense 75A6BG",89 999 р.,5,32,Россия,1 год,VIDAA,180 Вт,"75"" (190.5 см) ",,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,Есть,,Есть,Есть,Есть,400x300 ,Есть,,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",DTS Virtual X,,Есть,Есть,,,3 ,2.0,,,,,,Есть ,2,Есть ,Есть,Есть ,,,,,,96.1 см,167.7 см,35.7 см,,,,,,,16:9,"PAL, SECAM",2 ,2x15 Вт,,,,,,,,60 Гц ,,,,,,Есть,,,Direct LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 65"" Samsung UE65BU8000U",89 499 р.,5,9,Россия,1 год,Tizen,,"65"" (165.1 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,,Есть,Есть ,Есть,,,,,400x300 ,,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",,,,,,,3 ,2.0,,,Есть,,,,1,Есть ,,Есть ,,,,,Есть ,,,,83.2 см,145.1 см,25.7 см,,,Черный ,16:9,"PAL, SECAM",,2 x 10 Вт,20.9 кг,,,,,,,60 Гц ,,,,,,Есть,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 50"" LG 50UP7750",38 999 р.,5,12,Китай,1 год,,68 Вт,"50"" (127 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,,Голосом ,Есть,Есть ,Есть,,Есть,,,,Есть,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",Ultra Surround,,,,,,2 ,2.0,,,Есть,,,Есть ,1,Есть ,Есть,Есть ,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,2x10 Вт,,,,,,,,60 Гц ,,178 ° ,,,,Есть,VA,,Direct LED,Есть,,2.0,,,4,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 58"" Philips 58PUS8507/60",69 999 р.,5,18,Россия,1 год,Android TV,,"58"" (147.3 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,Есть ,Есть,Есть,Есть,,Есть,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-C2, DVB-S2, DVB-T2 ",Dolby Atmos,,,,,,4 ,2.0,,,Есть,,Есть,Есть ,2,Есть ,Есть,Есть ,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,2х10 Вт,,,,11,,,,60 Гц ,,,,,,Есть,,,,,,,Есть,,,,,,,"MP3, AVI, MKV, MPEG4",,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 50"" Philips 50PUS8507/60",59 999 р.,5,15,Россия,1 год,Android TV,,"50"" (127 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,Есть ,Есть,,Есть,,Есть,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-C2, DVB-S2, DVB-T2 ",Dolby Atmos,,,,,,4 ,2.0,,,Есть,,Есть,Есть ,2,Есть ,Есть,Есть ,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,2х10 Вт,,,,11,,,,60 Гц ,,,,,,Есть,,,,,,,Есть,,,,,,,"MP3, AVI, MKV, MPEG4",,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 32"" Olto 3220R",8 700 р.,5,1,Россия,1 год,,,"32"" (81.3 см) ",LED ,1366x768 Пикс (HD-Ready) ,,Есть ,,,Есть,,,Есть ,,Есть,Есть,200x200 ,,Есть,,Есть,"DVB-C, DVB-T2 ",,,Есть,,,,3 ,,,Есть,,,Есть,Есть ,1,,,,,,,,Есть ,46.6 см,72.7 см,18.8 см,42.6 см,72.7 см,8.3 см,,,,16:9,"NTSC, PAL, SECAM",2 ,20 Вт,,,,,180 кд/м² ,,,50 Гц ,178 °,178 ° ,8 мс,,,,,,,,,,,,,,,,,,,,,1 ,,60 000:1,,,,,,,,,,,Есть,,,,,Есть,,,
"LED телевизор 43"" Harper 43F660TS",18 390 р.,5,3,Россия,1 год,Android TV,,"43"" (109.2 см) ",LED ,1920x1080 Пикс (Full HD) ,,Есть ,Есть ,,Есть,,,Есть ,Есть,Есть,,,,,,Есть,"DVB-C, DVB-T, DVB-T2 ",Стерео,,Есть,,Есть,,3 ,,Есть,,,,Есть,,,,,,,,,,,,,,,,,,,,16:9,"NTSC, PAL, SECAM",2 ,20 Вт,,,,Android 4,250 кд/м² ,4 ГБ,,50 Гц ,178 °,178 ° ,6.5 мс,,,,,,Direct LED,Есть,Есть,,Есть,Cortex A7,,,,,,,,,,,,90000:1,,,,,,,,Есть,,Есть,,,,,,,,1.5 ГГц,
"Ultra HD (4K) LED телевизор 65"" Samsung UE65AU7100UXCE",69 999 р.,5,3,Россия,1 год,Tizen,116 Вт,"65"" (165.1 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,,Есть,Есть ,Есть,,Есть,Есть,Есть,400x300 ,Есть,,Есть,Есть,"DVB-C, DVB-S2, DVB-T2 ",Dolby Digital Plus,,,,,,3 ,2.0,,,Есть,,,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,,,,90.7 см,,,,,,16:9,"PAL, SECAM",,20 Вт,,,,,,,,60 Гц ,,,,,,Есть,,UHD Processor 4K 2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 55"" LG NanoCell 55NANO769QA",55 999 р.,5,12,Россия,1 год,WebOS,160 Вт,"55"" (139.7 см) ",NanoCell ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,,,,Есть,300x300 ,Есть,Есть,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",AI Sound Pro,,,,,,3 ,2.0,,,Есть,,,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,,,,,,,,,,16:9,"PAL, SECAM",2 ,20 Вт,,,,,,,,60 Гц ,,,,,,Есть,,,,,,,,,,,,,Есть,,Есть,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 50"" LG 50UQ90006LD",46 999 р.,5,9,Россия,1 год,WebOS,130 Вт,"50"" (127 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,,Есть,Есть,Есть,,Есть,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",AI Sound Pro,,,,,,3 ,,,,Есть,,,Есть ,2,Есть ,Есть,Есть ,,,,,,,,,,,,,,,,"PAL, SECAM",2 ,20 Вт,,,,,,,,60 Гц ,,,,,,Есть,,,Direct LED,,,2.0,,α5 Gen5,,,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,Есть,,
"Ultra HD (4K) LED телевизор 55"" LG 55UQ81009LC",49 999 р.,5,10,Индонезия,1 год,WebOS,130 Вт,"55"" (139.7 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,,Есть,Есть,Есть,,Есть,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",AI Sound,,,,,,2 ,,,,Есть,,,Есть ,1,Есть ,Есть,Есть ,,,,,,,,,,,,,,,,"PAL, SECAM",2 ,20 Вт,,,,,,,,60 Гц ,,,,,,Есть,,,Direct LED,,,2.0,,α5 Gen5,,,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,Есть,,Есть 
