link,Рейтинг,Количество отзывов,Название,Цена,Страна,Гарантия,Семейство,Сокет,Ядро,Количество ядер,Количество потоков,Тактовая частота,Максимальная тактовая частота,Техпроцесс,Тип поставки,Объем кэша L2,Объем кэша L3,Интегрированное графическое ядро,Графическое ядро,Частота графического ядра,Максимальная частота графического ядра,Тип поддерживаемой памяти,Поддерживаемые стандарты памяти,Количество каналов памяти,Максимальный объем памяти,Максимальная пропускная способность памяти,Поддерживаемые инструкции,Тепловыделение,Максимальная рабочая температура,Высота,Ширина,Максимальный объем видеопамяти,Объем кэша L1,Глубина,Разблокированный множитель,Поддержка памяти ECC,Коэффициент умножения,Технологии,Вес,Дополнительная информация,Unnamed: 41,Кулер,Минимальное напряжение питания,Максимальное напряжение питания
https://www.eldorado.ru/cat/detail/protsessor-intel-core-i5-11400f-oem/,,,Процессор Intel Core i5-11400F OEM,17 590 р.,Китай,1 год,Intel Core i5,LGA1200,,6,12,2.6 ГГц,4.4 ГГц,14 нм,OEM,3 МБ,12 МБ,,,,,DDR4,PC4-25600 (DDR4 3200 МГц),2,128 ГБ,50 Гбит/с,,65 Вт,100 ˚С,37.5 мм,37.5 мм,,,,,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-core-i7-11700f-box/,,,Процессор Intel Core i7-11700F Box,37 490 р.,Китай,3 года,Intel Core i3,LGA1200,,8,16,2.5 ГГц,4.9 ГГц,14 нм,BOX,4 МБ,16 МБ,,,,,DDR4,PC4-25600 (DDR4 3200 МГц),2,128 ГБ,50 Гбит/с,,65 Вт,100 ˚С,37.5 мм,37.5 мм,,,,,,,,30 г,,,Есть,,
https://www.eldorado.ru/cat/detail/protsessor-amd-ryzen-3-pro-2100ge-oem/,,,Процессор AMD Ryzen 3 Pro 2100GE OEM,14 190 р.,Китай,1 год,AMD Ryzen 3,AM4,Raven Ridge,2,4,3.2 ГГц,,14 нм,OEM,1 МБ,4 МБ,Есть,AMD Radeon Vega 3,,,DDR4,PC4-25600 (DDR4 3200 МГц),2,128 ГБ,,,35 Вт,95 ˚С,40 мм,6 мм,,,40 мм,Есть,,,,42 г,,,,,
https://www.eldorado.ru/cat/detail/protsessor-amd-ryzen-5-3600-oem/,,,Процессор AMD Ryzen 5 3600 OEM,10 890 р.,Китай,1 год,AMD Ryzen 5,AM4,,6,12,3.6 ГГц,4.2 ГГц,7 нм,OEM,3 МБ,32 МБ,,,,,DDR4,PC4-25600 (DDR4 3200 МГц),2,128 ГБ,,,65 Вт,95 ˚С,45 мм,45 мм,,384 КБ,,,,,,150 г,,,,,
https://www.eldorado.ru/cat/detail/protsessor-amd-ryzen-5-5600x-oem/,,,Процессор AMD Ryzen 5 5600X OEM,18 590 р.,Китай,1 год,AMD Ryzen 5,AM4,Vermeer,6,12,3.7 ГГц,4.6 ГГц,7 нм,OEM,3 МБ,32 МБ,,,,,DDR4,PC4-25600 (DDR4 3200 МГц),,,,,65 Вт,95 ˚С,,,,,,,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-amd-ryzen-5-pro-4650g-oem/,,,Процессор AMD Ryzen 5 Pro 4650G OEM,13 290 р.,Китай,1 год,AMD Ryzen 5,AM4,,6,12,3.7 ГГц,4.2 ГГц,7 нм,OEM,3 МБ,8 МБ,Есть,AMD Radeon Vega 7,,,DDR4,PC4-25600 (DDR4 3200 МГц),2,,,,65 Вт,95 ˚С,,,,384 КБ,,,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-amd-ryzen-7-3700x-oem/,,,Процессор AMD Ryzen 7 3700X OEM,21 590 р.,Китай,1 год,AMD Ryzen 7,AM4,,8,16,3.6 ГГц,4.4 ГГц,7 нм,OEM,4 МБ,32 МБ,,,,,DDR4,PC4-25600 (DDR4 3200 МГц),2,,,,65 Вт,95 ˚С,40 мм,,,512 КБ,40 мм,Есть,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-amd-ryzen-7-5800x-oem/,,,Процессор AMD Ryzen 7 5800X OEM,35 190 р.,Китай,1 год,AMD Ryzen 7,AM4,,8,16,3.8 ГГц,4.7 ГГц,7 нм,OEM,4 МБ,32 МБ,,,,,DDR4,PC4-25600 (DDR4 3200 МГц),,,,,105 Вт,90 ˚С,,,,,,Есть,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-amd-ryzen-7-pro-4750g-oem/,,,Процессор AMD Ryzen 7 Pro 4750G OEM,24 790 р.,Китай,1 год,AMD Ryzen 7,AM4,,8,16,3.6 ГГц,4.4 ГГц,7 нм,OEM,4 МБ,8 МБ,Есть,AMD Radeon Vega 8,,,DDR4,PC4-25600 (DDR4 3200 МГц),2,,,,65 Вт,95 ˚С,40 мм,6 мм,,512 КБ,40 мм,,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-amd-ryzen-9-5900x-oem/,,,Процессор AMD Ryzen 9 5900X OEM,38 890 р.,Китай,1 год,AMD Ryzen 9,AM4,,12,24,3.7 ГГц,4.8 ГГц,7 нм,OEM,6 МБ,64 МБ,,,,,DDR4,PC4-25600 (DDR4 3200 МГц),,,,,105 Вт,90 ˚С,40 мм,6 мм,,768 КБ,40 мм,Есть,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-amd-ryzen-3-pro-4350g-oem/,,,Процессор AMD Ryzen 3 Pro 4350G OEM,11 890 р.,Китай,1 год,AMD Ryzen 3,AM4,,4,8,3.8 ГГц,4 ГГц,7 нм,OEM,2 МБ,4 МБ,Есть,,,1700 МГц,DDR4,,2,128 ГБ,,,65 Вт,,,,,256 КБ,,,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-amd-ryzen-9-5950x-oem-100-000000059/,,,Процессор AMD Ryzen 9 5950X OEM (100-000000059),59 190 р.,Китай,1 год,AMD Ryzen 9,AM4,,16,32,3.4 ГГц,4.9 ГГц,7 нм,OEM,8 МБ,64 МБ,,,,,DDR4,PC4-25600 (DDR4 3200 МГц),,128 ГБ,,,105 Вт,90 ˚С,,,,1 МБ,,Есть,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-core-i5-11400f-oem-cm8070804497016-s-rkp1/,,,Процессор Intel Core i5 11400F OEM (CM8070804497016 S RKP1),15 590 р.,Китай,3 года,Intel Core i5,LGA1200,Rocket Lake,6,12,2.6 ГГц,4.4 ГГц,14 нм,OEM,3 МБ,12 МБ,,,,,DDR4,,2,128 ГБ,50 Гбит/с,,65 Вт,100 ˚С,,37.5 мм,,,37.5 мм,,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-amd-ryzen-7-5700g-oem-100-000000263/,,,Процессор AMD Ryzen 7 5700G OEM (100-000000263),24 190 р.,Китай,1 год,AMD Ryzen 7,AM4,Cezanne,8,16,3.8 ГГц,4.6 ГГц,7 нм,OEM,4 МБ,16 МБ,Есть,AMD Radeon Vega 8,,2000 МГц,DDR4,PC4-25600 (DDR4 3200 МГц),2,,,"AVX2, AVX, SSE, SSE4.1, SSE4.2, F16C, SSE3, FMA3, SSE4, SSE2, AES",65 Вт,95 ˚С,,,128 ГБ,256 КБ,,Есть,,,"Intel Hyper-Threading, Enhanced Virus Protection, AMD virtualization",,,,,,
https://www.eldorado.ru/cat/detail/protsessor-amd-ryzen-5-4600g-oem-100-000000147/,,,Процессор AMD Ryzen 5 4600G OEM (100-000000147),13 390 р.,Китай,1 год,AMD Ryzen 5,AM4,,6,12,3.7 ГГц,4.2 ГГц,7 нм,OEM,3 МБ,8 МБ,Есть,AMD Radeon Vega 7,1900 МГц,,DDR4,PC4-25600 (DDR4 3200 МГц),2,64 ГБ,,,65 Вт,95 ˚С,,,,384 КБ,,,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-amd-ryzen-7-7700x-oem-100-000000591/,,,Процессор AMD Ryzen 7 7700X OEM (100-000000591),38 290 р.,Китай,1 год,AMD Ryzen 7,,,8,16,4.5 ГГц,5.4 ГГц,,,8 МБ,32 МБ,Есть,,,2200 МГц,DDR5,,2,128 ГБ,,,105 Вт,95 ˚С,,,,512 КБ,,,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-amd-ryzen-9-7900x-oem-100-000000589/,,,Процессор AMD Ryzen 9 7900X OEM (100-000000589),55 690 р.,Китай,1 год,AMD Ryzen 9,,,12,24,4.7 ГГц,5.6 ГГц,,OEM,12 МБ,64 МБ,Есть,,,2200 МГц,DDR5,,2,128 ГБ,,,170 Вт,95 ˚С,,,,768 КБ,,,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-core-i5-13600kf-oem/,,,Процессор Intel Core i5 13600KF OEM,43 890 р.,Китай,1 год,Intel Core i5,LGA1700,Raptor Lake,14,20,3.5 ГГц,5.1 ГГц,10 нм,OEM,20 МБ,24 МБ,,,,,"DDR5, DDR4",,,128 ГБ,89.6 Гбит/с,,181 Вт,100 ˚С,,,,,,Есть,,,,55 г,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-original-core-i7-13700k/,,,Процессор Intel Original Core i7 13700K,53 590 р.,Китай,1 год,Intel Core i7,LGA1700,Raptor Lake,16,24,3.4 ГГц,5.4 ГГц,10 нм,BOX,24 МБ,30 МБ,Есть,Intel UHD Graphics 770,300 МГц,1600 МГц,"DDR5, DDR4",PC4-25600 (DDR4 3200 МГц),2,128 ГБ,,,253 Вт,100 ˚С,,,,,,Есть,Есть,,,,Графический контроллер: PCI-E 5.0,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-original-core-i7-13700kf/,,,Процессор Intel Original Core i7 13700KF,51 290 р.,Китай,1 год,Intel Core i7,LGA1700,Raptor Lake,16,24,3.4 ГГц,5.4 ГГц,10 нм,BOX,24 МБ,30 МБ,,,,,"DDR5, DDR4",PC4-25600 (DDR4 3200 МГц),2,128 ГБ,,,253 Вт,100 ˚С,,,,,,Есть,,,,,Графический контроллер: PCI-E 5.0,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-original-core-i9-13900k-soc-1700-oem/,,,Процессор Intel Original Core i9 13900K Soc-1700 OEM,79 590 р.,Китай,1 год,Intel Core i9,LGA1700,Raptor Lake,24,32,3 ГГц,5.8 ГГц,10 нм,OEM,32 МБ,36 МБ,Есть,Intel UHD Graphics 770,300 МГц,1650 МГц,"DDR5, DDR4",PC4-25600 (DDR4 3200 МГц),2,,,,253 Вт,100 ˚С,,,,,,Есть,Есть,,,,Графический контроллер: PCI-E 5.0,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-original-core-i9-13900kf-soc-1700-oem/,,,Процессор Intel Original Core i9 13900KF Soc-1700 OEM,81 690 р.,Китай,1 год,Intel Core i9,LGA1700,Raptor Lake,24,32,3 ГГц,5.8 ГГц,10 нм,OEM,32 МБ,36 МБ,,,,,"DDR5, DDR4",PC4-25600 (DDR4 3200 МГц),2,128 ГБ,,,253 Вт,100 ˚С,,,,,,Есть,,,,,Графический контроллер: PCI-E 5.0,,,,
https://www.eldorado.ru/cat/detail/protsessor-amd-ryzen-3-3200g-am4-box/,,,Процессор AMD Ryzen 3 3200G AM4 BOX,10 790 р.,Китай,1 год,AMD Ryzen 3,AM4,,4,4,3.6 ГГц,4 ГГц,12 нм,BOX,2 МБ,4 МБ,,AMD Radeon Vega 8,1250 МГц,,DDR4,PC4-23400 (DDR4 2933 МГц),2,,,,65 Вт,95 ˚С,,,,384 КБ,,Есть,,,,,,,Есть,,
https://www.eldorado.ru/cat/detail/protsessor-amd-ryzen-3-3200g-am4-oem/,,,Процессор AMD Ryzen 3 3200G AM4 OEM,9 440 р.,Китай,1 год,AMD Ryzen 3,AM4,,4,4,3.6 ГГц,4 ГГц,12 нм,OEM,2 МБ,4 МБ,,AMD Radeon Vega 8,1250 МГц,,DDR4,PC4-23400 (DDR4 2933 МГц),2,,,,65 Вт,95 ˚С,,,,384 КБ,,Есть,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-core-i5-11500-oem-s-rkny-cm8070804496809/,,,Процессор Intel Core i5-11500 OEM S RKNY (CM8070804496809),24 990 р.,Китай,3 года,Intel Core i5,LGA1200,Rocket Lake,6,12,2.7 ГГц,4.6 ГГц,14 нм,OEM,3 МБ,12 МБ,Есть,,,,DDR4,PC4-25600 (DDR4 3200 МГц),2,128 ГБ,,,65 Вт,,,,,64 КБ,,,,27,,,Графический контроллер Intel UHD Graphics 750,,,,
https://www.eldorado.ru/cat/detail/protsessor-amd-ryzen-5-3600-oem-0694559/,,,Процессор AMD Ryzen 5 3600 OEM (0694559),9 799 р.,Китай,1 год,AMD Ryzen 5,AM4,,6,12,3.6 ГГц,4.2 ГГц,7 нм,OEM,3 МБ,32 МБ,,,,,DDR4,PC4-25600 (DDR4 3200 МГц),2,128 ГБ,,,65 Вт,95 ˚С,,,,384 КБ,,Есть,,36,,150 г,,,,,
https://www.eldorado.ru/cat/detail/protsessor-amd-sempron-3850-socket-am1-box-sd3850jahmbox/,,,Процессор AMD Sempron 3850 Socket AM1 Box (SD3850JAHMBox),2 690 р.,Китай,3 года,AMD Sempron,AM1,Kabini,4,,1.3 ГГц,,28 нм,BOX,2 Мб,,Есть,,450 МГц,,,PC3‑12800 (DDR3 1600 МГц),,,,"AVX, SSE, SSE4.1, SSE4.2, F16C, SSE3, MMX, SSE4, SSE2, BMI1, AES",25 Вт,90 ˚С,,,,64 КБ,,,,,AMD64/Intel64/EM64T,,,,,0.5 В,1.4 В
https://www.eldorado.ru/cat/detail/protsessor-amd-a6-7400k-socket-fm2-box-ad740kybjabox/,,,Процессор AMD A6 7400K Socket FM2+ Box (AD740KYBJABox),3 099 р.,Китай,3 года,AMD A6,FM2+,Kaveri,2,,3.5 ГГц,,28 нм,BOX,1 Мб,,Есть,AMD Radeon R5,756 МГц,,,"PC3‑8500 (DDR3 1066 МГц), PC3‑14900 (DDR3 1866 МГц), PC3‑6400 (DDR3 800 МГц), PC3‑10600 (DDR3 1333 МГц), PC3‑12800 (DDR3 1600 МГц)",,,,"SSE, SSE3, MMX, SSE4, SSE2",65 Вт,70 ˚С,,,,128 КБ,,,,,"AMD64/Intel64/EM64T, AMD virtualization",,,,,,
https://www.eldorado.ru/cat/detail/protsessor-amd-fx-4350-socket-am3-oem-fd4350frw4khk/,,,Процессор AMD FX-4350 Socket AM3+ Oem (FD4350FRW4KHK),2 999 р.,Китай,1 год,AMD FX,AM3+,Vishera,4,,4.2 ГГц,,32 нм,OEM,4 Мб,8 Мб,,,,,DDR3,"PC3‑8500 (DDR3 1066 МГц), PC3‑14900 (DDR3 1866 МГц), PC3‑6400 (DDR3 800 МГц), PC3‑10600 (DDR3 1333 МГц), PC3‑12800 (DDR3 1600 МГц)",,128 ГБ,,"AVX, SSE, SSE3, XOP, MMX, SSE4, FMA4, SSE2",125 Вт,,,,,48 КБ,,,Есть,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-amd-fx-6350-socket-am3-oem-fd6350frw6khk/,,,Процессор AMD FX-6350 Socket AM3+ Oem (FD6350FRW6KHK),0,Китай,1 год,AMD FX,AM3+,Vishera,6,,3.9 ГГц,4.2 ГГц,32 нм,,6 Мб,8 Мб,,,,,,,,,,"AVX, SSE, SSE4.1, SSE4.2, SSE3, SSE4, SSE4a, SSE2, BMI1, AES, AVX2, F16C, XOP, FMA3, MMX, SSSE3, FMA4, TBM",125 Вт,,,,,64 КБ,,Есть,,,"AMD Turbo Core 3.0, AMD64/Intel64/EM64T, AMD virtualization",,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-celeron-g3900-2-80ghz-2mb-box-bx80662g3900sr2hv/,,,"Процессор Intel Celeron G3900 2,80Ghz 2Mb Box (BX80662G3900SR2HV)",5 990 р.,Вьетнам,3 года,Intel Celeron,LGA1151,Skylake,2,,2.8 ГГц,,14 нм,BOX,0.5 МБ,2 МБ,Есть,Intel HD Graphics 510,950 МГц,,DDR4,,2,64 ГБ,,"SSE, SSE4.1, SSE4.2, SSE3, MMX, SSE4, SSE2, AES",51 Вт,72 ˚С,,,,128 КБ,,,,28,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-celeron-g3930/,,,Процессор Intel Celeron G3930,4 590 р.,Малайзия,3 года,Intel Celeron,LGA1151,,2,,2.9 ГГц,,,BOX,,2 МБ,Есть,,,,,,,,,,51 Вт,,,,,,,,,,,,Графический контроллер - Intel HD Graphics 610,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-pentium-g4400-bx80662g4400/,,,Процессор Intel Pentium G4400 (BX80662G4400),4 690 р.,Вьетнам,3 года,Intel Pentium,LGA1151,,2,,3.3 ГГц,,,BOX,,3 МБ,Есть,,,,,,,,,,54 Вт,,,,,,,,,,,,Графический контроллер - Intel HD Graphics 510,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-pentium-g4620/,,,Процессор Intel Pentium G4620,5 599 р.,Малайзия,3 года,Intel Pentium,LGA1151,,2,,3.7 ГГц,,,BOX,,3 МБ,Есть,,,,,,,,,,51 Вт,,,,,,,,,,,,Графический контроллер - Intel HD Graphics 630,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-core-i3-7100/,,,Процессор Intel Core i3-7100,7 199 р.,Вьетнам,3 года,Intel Core i3,,,2,,3.9 ГГц,,,,,3 МБ,Есть,Intel HD Graphics,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-core-i5-6400-bx80662i56400/,,,Процессор Intel Core i5-6400 (BX80662I56400),18 699 р.,Вьетнам,3 года,Intel Core i5,,,4,,2.7 ГГц,3.3 ГГц,,BOX,6 МБ,,Есть,Intel HD Graphics,,,,,,,,,65 Вт,,,,,,,,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-core-i5-7500/,,,Процессор Intel Core i5-7500,13 990 р.,Вьетнам,3 года,Intel Core i5,LGA1151,,4,,3.4 ГГц,3.8 ГГц,,BOX,,6 МБ,Есть,,,,,,,,,,65 Вт,,,,,,,,,,,,Графический контроллер - Intel HD Graphics 630,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-core-i5-7600-bx80677i57600/,,,Процессор Intel Core i5-7500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-core-i5-7600k-bx80677i57600k/,,,Процессор Intel Core i5-7600K (BX80677I57600K),10 199 р.,Вьетнам,3 года,Intel Core i5,LGA1151,,4,,3.8 ГГц,4.2 ГГц,,BOX,,6 МБ,Есть,,,,,,,,,,91 Вт,,,,,,,Есть,,,,,Графический контроллер - Intel HD Graphics 630,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-core-i7-7700/,,,Процессор Intel Core i7-7700,29 290 р.,Вьетнам,3 года,Intel Core i7,LGA1151,,4,,3.6 ГГц,4.2 ГГц,,BOX,,8 МБ,Есть,,,,,,,,,,65 Вт,,,,,,,,,,,,Графический контроллер - Intel HD Graphics 630,,,,
https://www.eldorado.ru/cat/detail/protsessor-amd-ryzen-5-1400-yd1400bbaebox/,,,Процессор AMD Ryzen 5 1400 (YD1400BBAEBOX),8 290 р.,Малайзия,3 года,AMD Ryzen 5,AM4,,4,,3.2 ГГц,3.4 ГГц,,BOX,,8 МБ,,,,,,,,,,,65 Вт,,,,,,,Есть,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-amd-ryzen-7-1700-yd1700bbaebox/,,,Процессор AMD Ryzen 7 1700 (YD1700BBAEBOX),17 299 р.,Малайзия,3 года,AMD Ryzen 7,AM4,Summit Ridge,8,16,3 ГГц,3.7 ГГц,14 нм,BOX,4 МБ,16 МБ,,,,,DDR4,PC4-12800 (DDR4 1600 МГц),2,128 ГБ,,"AVX, SSE3, FMA3, MMX, SSSE3, SSE2, AES",65 Вт,90 ˚С,,,,768 КБ,,Есть,,30,,,,,Есть,,
https://www.eldorado.ru/cat/detail/protsessor-amd-a10-7850k/,,,Процессор AMD A10 7850K,7 590 р.,Малайзия,3 года,,FM2+,Kaveri,4,,3.7 ГГц,4 ГГц,28 нм,BOX,2х2 МБ,,Есть,AMD Radeon R7,,,,,,,,,95 Вт,,,,,,,Есть,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-amd-sempron-x2-2650/,,,Процессор AMD A10 7850K,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-core-i3-6100-bx80662i36100/,,,Процессор Intel Core i3-6100 (BX80662I36100),7 790 р.,Китай,3 года,Intel Core i3,LGA1151,Skylake,2,4,3.7 ГГц,,14 нм,BOX,0.5 МБ,3 МБ,Есть,Intel HD Graphics 530,350 МГц,1050 МГц,"DDR4, DDR3",,2,64 ГБ,34.1 Гбит/с,"AVX2, SSE4.1, SSE4.2",51 Вт,65 ˚С,37.5 мм,37.5 мм,64 ГБ,64 КБ,,,Есть,,"Enhanced Intel SpeedStep, Intel Virtualization (VT-d), Intel Hyper-Threading, AMD64/Intel64/EM64T, Intel Virtualization (VT-x)",,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-core-i3-7300-bx80677i37300/,,,Процессор Intel Core i3-7300 (BX80677I37300),9 690 р.,Китай,3 года,Intel Core i3,LGA1151,,2,,4 ГГц,,,BOX,,4 МБ,Есть,,,,,,,,,,51 Вт,,,,,,,,,,,,Графический контроллер - Intel HD Graphics 630,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-core-i3-7320-bx80677i37320/,,,Процессор Intel Core i3-7320 (BX80677I37320),12 499 р.,Китай,3 года,Intel Core i3,,,2,,4.1 ГГц,,,BOX,,,Есть,,,,,,,,,,51 Вт,,,,,,,,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-core-i3-7350k-bx80677i37350k/,,,Процессор Intel Core i3-7350K (BX80677I37350K),11 190 р.,Китай,3 года,Intel Core i3,LGA1150,,2,,4.2 ГГц,,,BOX,,4 МБ,Есть,Intel HD Graphics,350 МГц,1150 МГц,DDR4,,2,,,,60 Вт,,,,64 ГБ,,,Есть,Есть,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-core-i5-7640x-bx80677i57640x/,,,Процессор Intel Core i5-7640X (BX80677I57640X),19 490 р.,Китай,3 года,Intel Core i5,LGA2066,,4,,4 ГГц,4.2 ГГц,,BOX,,6 МБ,,,,,,,,,,,112 Вт,,,,,,,,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-core-i7-7740x-bx80677i77740x/,,,Процессор Intel Core i7-7740X (BX80677I77740X),15 499 р.,Китай,3 года,Intel Core i7,LGA2066,,4,,4.3 ГГц,4.5 ГГц,,BOX,,8 МБ,,,,,,,,,,,112 Вт,,,,,,,Есть,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-amd-fx-8320e-fd832ewmhkbox/,,,Процессор AMD FX-8320E (FD832EWMHKBOX),6 790 р.,Германия,3 года,,AM3+,,8,,3.2 ГГц,4 ГГц,,BOX,,8 МБ,,,,,,,,,,,95 Вт,,,,,,,,,,,,,,Есть,,
https://www.eldorado.ru/cat/detail/protsessor-amd-fx-8300-fd8300wmhkbox/,,,Процессор AMD FX-8300 (FD8300WMHKBOX),7 390 р.,Германия,3 года,,AM3+,,8,,3.3 ГГц,4.2 ГГц,,BOX,,8 МБ,,,,,,,,,,,95 Вт,,,,,,,Есть,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-amd-fx-8320-fd8320frhkbox/,,,Процессор AMD FX-8320 (FD8320FRHKBOX),8 590 р.,Германия,3 года,AMD FX,AM3+,,8,8,3.2 ГГц,4 ГГц,32 нм,BOX,,8 МБ,,,,,DDR3,,,,,AES,125 Вт,61.1 ˚С,,,,,,Есть,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-amd-a10-7800-ad7800ybjabox/,,,Процессор AMD A10 7800 (AD7800YBJABOX),5 490 р.,Малайзия,3 года,AMD A10,FM2+,,4,,3.5 ГГц,3.9 ГГц,,BOX,4 МБ,,Есть,AMD Radeon R7,,,,,,,,,65 Вт,,,,,,,,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-amd-a8-7650k-ad765kxbjabox/,,,Процессор AMD A8 7650K (AD765KXBJABOX),4 990 р.,Малайзия,3 года,AMD A8,FM2+,,4,,3.3 ГГц,3.8 ГГц,,BOX,4 МБ,,Есть,AMD Radeon R7,,,,,,,,,95 Вт,,,,,,,Есть,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-amd-a4-7300-ad7300okhlbox/,,,Процессор AMD A4 7300 (AD7300OKHLBOX),2 590 р.,Малайзия,3 года,AMD A4,FM2,,2,,3.8 ГГц,4 ГГц,,BOX,1 МБ,,Есть,AMD HD 8470D,,,,,,,,,65 Вт,,,,,,,,,,,,,,,,
