link,Рейтинг,Количество отзывов,Название,Цена,Страна,Гарантия,Семейство,Сокет,Ядро,Количество ядер,Количество потоков,Тактовая частота,Максимальная тактовая частота,Техпроцесс,Тип поставки,Объем кэша L2,Объем кэша L3,Интегрированное графическое ядро,Графическое ядро,Частота графического ядра,Максимальная частота графического ядра,Тип поддерживаемой памяти,Поддерживаемые стандарты памяти,Количество каналов памяти,Максимальный объем памяти,Максимальная пропускная способность памяти,Поддерживаемые инструкции,Тепловыделение,Максимальная рабочая температура,Высота,Ширина,Максимальный объем видеопамяти,Объем кэша L1,Глубина,Разблокированный множитель,Поддержка памяти ECC,Коэффициент умножения,Технологии,Вес,Дополнительная информация,Unnamed: 41,Кулер,Минимальное напряжение питания,Максимальное напряжение питания
https://www.eldorado.ru/cat/detail/protsessor-amd-a10-7870k-ad787kxdjcbox/,,,Процессор AMD A10 7870K (AD787KXDJCBOX),6 190 р.,Малайзия,3 года,AMD A10,FM2+,,4,,3.9 ГГц,4.1 ГГц,,BOX,4 МБ,,Есть,AMD Radeon R7,,,,,,,,,95 Вт,,,,,,,Есть,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-amd-a10-7890k-ad789kxdjchbx/,,,Процессор AMD A10 7890K (AD789KXDJCHBX),6 690 р.,Малайзия,3 года,AMD A10,FM2+,,4,,4.1 ГГц,4.3 ГГц,,BOX,4 МБ,,Есть,AMD Radeon R7,,,,,,,,,95 Вт,,,,,,,Есть,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-amd-a10-7870k-ad787kxdjcsbx/,,,Процессор AMD A10 7870K (AD787KXDJCSBX),6 290 р.,Малайзия,3 года,AMD A10,FM2+,,4,,3.9 ГГц,4.1 ГГц,,BOX,4 МБ,,Есть,AMD Radeon R7,,,,,,,,,95 Вт,,,,,,,Есть,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-amd-a10-7860k-ad786kybjcsbx/,,,Процессор AMD A10 7860K (AD786KYBJCSBX),5 990 р.,Малайзия,3 года,AMD A10,FM2+,,4,,3.6 ГГц,4 ГГц,,BOX,4 МБ,,Есть,AMD Radeon R7,,,,,,,,,65 Вт,,,,,,,Есть,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-amd-ryzen-5-1500x-yd150xbbaebox/,,,Процессор AMD Ryzen 5 1500X (YD150XBBAEBOX),0,Малайзия,3 года,AMD Ryzen 5,AM4,,4,,3.5 ГГц,3.7 ГГц,,BOX,2 МБ,16 МБ,,,,,,,,,,,65 Вт,,,,,,,Есть,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-amd-a10-9700e-ad9700ahabbox/,,,Процессор AMD A10 9700E (AD9700AHABBOX),5 690 р.,Малайзия,3 года,AMD A10,AM4,,4,,3 ГГц,3.5 ГГц,,BOX,2 МБ,,Есть,AMD Radeon R7,,,,,,,,,35 Вт,,,,,,,Есть,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-amd-a12-9800e-ad9800ahabbox/,,,Процессор AMD A12 9800E (AD9800AHABBOX),6 990 р.,Малайзия,3 года,AMD A12,AM4,,4,,3.1 ГГц,3.8 ГГц,,BOX,2 МБ,,Есть,AMD Radeon R7,,,,,,,,,35 Вт,,,,,,,Есть,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-amd-a6-9500e-ad9500ahabbox/,,,Процессор AMD A6 9500E (AD9500AHABBOX),3 399 р.,Малайзия,3 года,AMD A6,AM4,Bristol Ridge,2,2,3 ГГц,3.4 ГГц,28 нм,BOX,1 МБ,,Есть,AMD Radeon R5,800 МГц,,DDR4,PC4-12800 (DDR4 1600 МГц),2,,,"AVX, SSE, SSE3, FMA3, MMX, SSE4, FMA4, SSE2, TBM, AES",35 Вт,90 ˚С,,,,,,,,30,AMD Turbo Core,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-amd-a6-9500-ad9500agabbox/,,,Процессор AMD A6 9500 (AD9500AGABBOX),3 490 р.,Малайзия,3 года,AMD A6,AM4,,2,,3.5 ГГц,3.8 ГГц,,BOX,1 МБ,,Есть,AMD Radeon R5,,,,,,,,,65 Вт,,,,,,,Есть,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-amd-a10-9700-ad9700agabbox/,,,Процессор AMD A10 9700 (AD9700AGABBOX),5 690 р.,Малайзия,3 года,AMD A10,AM4,,4,,3.5 ГГц,3.8 ГГц,,BOX,2 МБ,,Есть,AMD Radeon R7,,,,,,,,,65 Вт,,,,,,,Есть,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-amd-ryzen-5-2400g-yd2400c5fbbox/,,,Процессор AMD Ryzen 5 2400G (YD2400C5FBBOX),11 399 р.,Малайзия,3 года,AMD Ryzen 5,AM4,Raven Ridge,4,8,3.6 ГГц,3.9 ГГц,14 нм,BOX,2 МБ,4 МБ,Есть,AMD Radeon Vega 11,1250 МГц,,DDR4,,2,64 ГБ,,,65 Вт,95 ˚С,,,,384 КБ,,,,,,,,,Есть,,
https://www.eldorado.ru/cat/detail/protsessor-amd-a4-4000-ad4000okhlbox/,,,Процессор AMD A4 4000 (AD4000OKHLBOX),0,Малайзия,3 года,AMD A4,FM2,Richland,2,2,3 ГГц,3.2 ГГц,32 нм,BOX,1 МБ,,Есть,AMD HD 7480D,724 МГц,,DDR3,PC3‑10600 (DDR3 1333 МГц),2,,,"AVX, SSE, SSE4.1, SSE4.2, SSE3, FMA3, MMX, SSE4, FMA4, SSE2, AES",65 Вт,70 ˚С,,40 мм,,64 КБ,40 мм,,,,AMD Turbo Core 3.0,39 г,,,Есть,,
https://www.eldorado.ru/cat/detail/protsessor-amd-a4-6300-ad6300okhlbox/,,,Процессор AMD A4 6300 (AD6300OKHLBOX),2 090 р.,Малайзия,3 года,AMD A4,FM2,,2,,3.7 ГГц,3.9 ГГц,,BOX,1 МБ,,Есть,AMD HD 8370D,,,,,,,,,65 Вт,,,,,,,,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-amd-a8-7670k-ad767kxbjcbox/,,,Процессор AMD A8 7670K (AD767KXBJCBOX),0,Малайзия,3 года,AMD A8,FM2+,Godavari,4,4,3.6 ГГц,3.9 ГГц,28 нм,BOX,4 МБ,,Есть,AMD Radeon R7,,757 МГц,DDR3,PC3‑6400 (DDR3 800 МГц),2,64 ГБ,,"SSE, SSE3, FMA3, MMX, SSE4, SSSE3, FMA4, SSE2, TBM",95 Вт,72.4 ˚С,,,,192 КБ,,,,36,AMD Turbo Core 3.0,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-pentium-gold-g5600-3-9ghz-bx80684g5600/,,,Процессор Intel Pentium Gold G5600 3.9GHz (BX80684G5600),8 790 р.,Китай,3 года,Intel Pentium,LGA1150,,2,4,3.9 ГГц,,,BOX,,4 МБ,Есть,Intel HD Graphics,350 МГц,1100 МГц,DDR4,,2,64 ГБ,,,54 Вт,100 ˚С,,37.5 мм,64 ГБ,,37.5 мм,,,,"Intel Virtualization (VT-d), Intel Hyper-Threading, Intel Virtualization (VT-x)",,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-pentium-gold-g5500-3-8ghz-bx80684g5500/,,,"Процессор Intel Pentium Gold G5500 3,8GHz (BX80684G5500)",8 590 р.,Китай,3 года,Intel Pentium,,,2,4,3.8 ГГц,,,,,4 МБ,Есть,Intel HD Graphics,350 МГц,1 МГц,DDR4,,2,64 ГБ,37.5 Гбит/с,,54 Вт,100 ˚С,,,64 ГБ,,,,Есть,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-pentium-gold-g5400-3-7-ghz-bx80684g5400/,,,Процессор Intel Pentium Gold G5400 3.7 GHz (BX80684G5400),4 990 р.,Китай,3 года,Intel Pentium,LGA1151 v2,,2,,3.7 ГГц,,,BOX,,4 МБ,Есть,,,,,,,,,,54 Вт,,,,,,,,,,,,Графический контроллер - Intel HD Graphics 610,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-core-i7-8700k-3-7ghz-bx80684i78700k/,,,Процессор Intel Core i7-8700K 3.7GHz (BX80684I78700K),27 790 р.,Китай,3 года,Intel Core i7,LGA1150,,6,,3.7 ГГц,4.7 ГГц,,BOX,1.5 МБ,12 МБ,Есть,Intel HD Graphics,350 МГц,1200 МГц,DDR4,,2,128 ГБ,41.6 Гбит/с,,95 Вт,100 ˚С,,,64 ГБ,,,Есть,,,"Intel Virtualization (VT-d), Intel Hyper-Threading, Intel vPro, Intel Turbo Boost 2.0, Intel Virtualization (VT-x)",,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-core-i5-8600-3-1ghz-bx80684i58600/,,,"Процессор Intel Core i5-8600 3,1GHz (BX80684I58600)",21 390 р.,Китай,3 года,Intel Core i5,,,6,,3.1 ГГц,4.3 ГГц,,BOX,1.5 МБ,9 МБ,Есть,Intel HD Graphics,,,DDR4,,2,128 ГБ,41.6 Гбит/с,,65 Вт,100 ˚С,,,,,,,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-core-i5-8500-3-0ghz-bx80684i58500/,,,Процессор Intel Core i5-8500 3.0GHz (BX80684I58500),20 190 р.,Китай,3 года,Intel Core i5,LGA1150,,6,,3 ГГц,4.1 ГГц,,BOX,1.5 МБ,9 МБ,Есть,Intel HD Graphics,,,DDR4,,2,128 ГБ,41.6 Гбит/с,,65 Вт,100 ˚С,,37.5 мм,,,37.5 мм,,,,"Intel Virtualization (VT-d), Intel vPro, Intel Turbo Boost 2.0, Intel Virtualization (VT-x)",,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-core-i3-8300-3-7ghz-bx80684i38300/,,,Процессор Intel Core i3-8300 3.7GHz (BX80684I38300),12 390 р.,Китай,3 года,Intel Core i3,LGA1151 v2,Coffee Lake,4,4,3.7 ГГц,,14 нм,BOX,1 МБ,8 МБ,Есть,Intel HD Graphics,350 МГц,1150 МГц,DDR4,,2,64 ГБ,,ABM,62 Вт,100 ˚С,,,64 ГБ,128 КБ,,,Есть,,,,,,Есть,,
https://www.eldorado.ru/cat/detail/protsessor-intel-celeron-g4900-3-1ghz-bx80684g4900/,,,"Процессор Intel Celeron G4900 3,1GHz (BX80684G4900)",2 690 р.,Китай,3 года,Intel Celeron,,,2,,3.1 ГГц,,,BOX,,2 МБ,Есть,Intel HD Graphics,350 МГц,1 МГц,DDR4,,2,64 ГБ,37.5 Гбит/с,,54 Вт,100 ˚С,,,64 ГБ,,,,Есть,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-core-i7-8700-bx80684i78700/,,,Процессор Intel Core i7-8700 (BX80684I78700),29 190 р.,Китай,3 года,Intel Core i7,LGA1150,,6,,3.2 ГГц,4.6 ГГц,,,1.5 МБ,12 МБ,,,,,,,,,,,65 Вт,,,,,,,,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-celeron-g3950-3-0ghz-2mb-box-bx80677g3950sr35j/,,,Процессор Intel Celeron G3950 3.0Ghz/2Mb Box (BX80677G3950SR35J),5 790 р.,Малайзия,3 года,Intel Celeron,,,2,2,3 ГГц,3 ГГц,,BOX,0.5 МБ,2 МБ,Есть,Intel HD Graphics,,1 МГц,DDR4,,,64 ГБ,,,51 Вт,,,,,64 КБ,,,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-pentium-g4500-3-50ghz-3mb-box-bx80662g4500sr2hj/,,,"Процессор Intel Pentium G4500 3,50Ghz 3Mb Box (BX80662G4500SR2HJ)",5 790 р.,Вьетнам,3 года,Intel Celeron,LGA1151,Skylake,2,,3.5 ГГц,,14 нм,BOX,0.5 МБ,2 МБ,Есть,Intel HD Graphics,,,"DDR4, DDR3",,,,,,51 Вт,,,,,64 КБ,,,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-i7-3770/,,,Процессор Intel i7-3770,21 990 р.,Китай,1 год,Intel Core i7,LGA1155,,4,,3.4 ГГц,3.9 ГГц,,OEM,1 МБ,8 МБ,Есть,Intel HD Graphics 4000,,,,,,,,,77 Вт,,,,,64 КБ,,,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-amd-ryzen-threadripper-2990wx-tr4-box-w-o-cooler-yd299xazafwof/,,,Процессор AMD Ryzen Threadripper 2990WX TR4 Box w/o Cooler (YD299XAZAFWOF),119 990 р.,Китай,3 года,AMD Ryzen Threadripper,TR4,,32,,3 ГГц,4.2 ГГц,,BOX,16 МБ,64 МБ,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-amd-ryzen-threadripper-2970wx-tr4-box-w-o-cooler-yd297xazafwof/,,,Процессор AMD Ryzen Threadripper 2970WX TR4 Box w/o Cooler (YD297XAZAFWOF),85 990 р.,Китай,3 года,AMD Ryzen Threadripper,TR4,,24,,2.9 ГГц,4.1 ГГц,12 нм,,12 МБ,64 МБ,,,,,,,,,,,,,,,,2.25 МБ,,,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-amd-ryzen-threadripper-2950x-tr4-box-w-o-cooler-yd295xa8afwof/,,,Процессор AMD Ryzen Threadripper 2950X TR4 BOX w/o Cooler (YD295XA8AFWOF),52 990 р.,Китай,3 года,AMD Ryzen Threadripper,TR4,,16,,3.5 ГГц,4.4 ГГц,12 нм,,8 МБ,32 МБ,,,,,DDR4,,4,,,,180 Вт,68 ˚С,,,,1.5 МБ,,,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-amd-ryzen-threadripper-2920x-tr4-box-w-o-cooler-yd292xa8afwof/,,,Процессор AMD Ryzen Threadripper 2920X TR4 Box w/o Cooler (YD292XA8AFWOF),35 190 р.,Китай,3 года,,,,,,3.5 ГГц,4.3 ГГц,,,6 МБ,32 МБ,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-amd-ryzen-9-3900x-am4-box-wraith-prism-cooler-100-100000023box/,,,Процессор AMD Ryzen 9 3900X AM4 Box Wraith Prism Cooler (100-100000023BOX),47 390 р.,Китай,3 года,AMD Ryzen 9,AM4,,12,,3.8 ГГц,4.6 ГГц,,,6 МБ,64 МБ,,,,,DDR4,,2,,,,,,,,,,,Есть,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-amd-ryzen-7-3800x-am4-box-wraith-prism-cooler-100-100000025box/,,,Процессор AMD Ryzen 7 3800X AM4 Box Wraith Prism Cooler (100-100000025BOX),29 390 р.,Китай,3 года,AMD Ryzen 7,AM4,,8,16,3.8 ГГц,4.4 ГГц,7 нм,BOX,4 МБ,32 МБ,,,,,,,,,,,105 Вт,,,,,512 КБ,,,,,,,,,Есть,,
https://www.eldorado.ru/cat/detail/protsessor-amd-ryzen-7-3700x-am4-box-wraith-prism-cooler-100-100000071box/,,,Процессор AMD Ryzen 7 3700X AM4 Box Wraith Prism Cooler (100-100000071BOX),28 990 р.,Китай,3 года,AMD Ryzen 7,AM4,,8,,3.6 ГГц,4.4 ГГц,,,4 МБ,32 МБ,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-amd-ryzen-5-3400g-am4-box-yd3400c5fhbox/,,,Процессор AMD Ryzen 5 3400G AM4 Box (YD3400C5FHBOX),13 390 р.,Китай,3 года,AMD Ryzen 5,AM4,,4,8,3.6 ГГц,4.1 ГГц,12 нм,BOX,2 МБ,4 МБ,,AMD Radeon Vega 11,,,,,,,,,65 Вт,,,,,384 КБ,,,,,,,,,Есть,,
https://www.eldorado.ru/cat/detail/protsessor-amd-ryzen-7-2700x-am4-box-yd270xbgafbox/,,,Процессор AMD Ryzen 7 2700X AM4 Box (YD270XBGAFBOX),17 990 р.,Китай,3 года,AMD Ryzen 7,AM4,,8,,3.6 ГГц,4.2 ГГц,12 нм,BOX,4 МБ,16 МБ,,,,,,,,,,,105 Вт,,,,,768 КБ,,,,,,,,,Есть,,
https://www.eldorado.ru/cat/detail/protsessor-amd-ryzen-7-2700-am4-box-yd2700bbafbox/,,,Процессор AMD Ryzen 7 2700 AM4 Box (YD2700BBAFBOX),15 990 р.,Китай,3 года,,,,8,,3.2 ГГц,,,,4 МБ,16 МБ,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-amd-ryzen-5-2600x-am4-box-yd260xbcafbox/,,,Процессор AMD Ryzen 5 2600X AM4 Box (YD260XBCAFBOX),12 990 р.,Китай,3 года,AMD Ryzen 5,AM4,,6,,3.5 ГГц,4.1 ГГц,12 нм,BOX,3 МБ,16 МБ,,,,,,,,,,,95 Вт,,,,,576 КБ,,,,,,,,,Есть,,
https://www.eldorado.ru/cat/detail/protsessor-amd-athlon-3000g-am4-box-yd3000c6fhbox/,,,Процессор AMD Athlon 3000G AM4 Box (YD3000C6FHBOX),3 990 р.,Китай,3 года,AMD Athlon,AM4,,2,,3.5 ГГц,,,,1 МБ,4 МБ,Есть,AMD Radeon Vega 3,,,,,,,,,35 Вт,,,,,192 КБ,,Есть,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-amd-ryzen-3-3100-s-kulerom-100-100000284box/,,,"Процессор AMD Ryzen 3 3100, с кулером (100-100000284BOX)",9 190 р.,Китай,3 года,AMD Ryzen 3,AM4,,4,,3.6 ГГц,3.9 ГГц,,,2 МБ,16 МБ,,,,,,,,,,,65 Вт,,,,,256 КБ,,Есть,,,,,,,Есть,,
https://www.eldorado.ru/cat/detail/protsessor-intel-core-i3-10105f-bx8070110105fsrh8v/,,,Процессор Intel Core i3-10105F (BX8070110105FSRH8V),6 899 р.,Вьетнам,3 года,Intel Core i3,,,4,,3.7 ГГц,4.4 ГГц,,BOX,1.5 МБ,6 МБ,,,,,,,,,,,65 Вт,,,,,64 КБ,,,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-core-i5-11600-bx8070811600srknw/,,,Процессор Intel Core i5-11600 (BX8070811600SRKNW),22 299 р.,Китай,3 года,Intel Core i5,,,6,,2.8 ГГц,4.8 ГГц,,,,12 МБ,Есть,,350 МГц,,DDR4,,2,128 ГБ,50 Гбит/с,,65 Вт,,37.5 мм,37.5 мм,64 ГБ,,,,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-sore-i3-10105f-s1200-3-7g-bx8070110105f-s-rh8v/,,,Процессор Intel Core i3-10105F S1200 3.7G (BX8070110105F S RH8V),8 499 р.,Вьетнам,3 года,Intel Core i3,LGA1200,Comet Lake,4,8,3.7 ГГц,4.4 ГГц,14 нм,BOX,1.5 МБ,6 МБ,,,,,DDR4,PC4-21300 (DDR4 2666 МГц),,,,,65 Вт,100 ˚С,,,,,,,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-pentium-g6405-s1200-4-1g-bx80701g6405-s-rh3z/,,,Процессор Intel Pentium G6405 S1200 4.1G (BX80701G6405 S RH3Z),5 899 р.,Вьетнам,3 года,Intel Pentium,LGA1200,Comet Lake,2,4,4.1 ГГц,,14 нм,BOX,0.5 МБ,0.0039 МБ,Есть,Intel UHD Graphics 610,350 МГц,1050 МГц,DDR4,PC4-21300 (DDR4 2666 МГц),,128 ГБ,,,58 Вт,100 ˚С,,,,64 КБ,,,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-sore-i5-12400f-s1700-2-5g-bx8071512400f-s-rl4w/,,,Процессор Intel Core i5-12400F S1700 2.5G (BX8071512400F S RL4W),14 699 р.,Вьетнам,3 года,Intel Core i5,,,6,,2.5 ГГц,4.4 ГГц,,BOX,7.5 МБ,18 МБ,,,,,,,,,,,117 Вт,,,,,,,,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-i7-10700kf-3-8ghz-16m-1200-no-fan-box/,,,Процессор Intel i7 10700KF 3.8GHz 16M 1200 no Fan Box,25 499 р.,Китай,1 год,Intel Core i7,LGA1200,,8,16,3.8 ГГц,5.1 ГГц,14 нм,BOX,16 МБ,,,,,,DDR4,PC4-23400 (DDR4 2933 МГц),2,128 ГБ,45.8 Гбит/с,"SSE4.1, SSE4.2, AES",,100 ˚С,37.5 мм,37.5 мм,,,,,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-core-i3-10105f-s1200-3-7g-bx8070110105f-s-rh8v/,,,Процессор Intel Core I3-10105F S1200 3.7G (BX8070110105F S RH8V),6 399 р.,Вьетнам,1 год,Intel Core i3,LGA1200,,4,8,3.7 ГГц,4.4 ГГц,14 нм,BOX,6 МБ,,,,,,DDR4,PC4-21300 (DDR4 2666 МГц),2,128 ГБ,41.6 Гбит/с,"SSE4.1, SSE4.2, AES",,100 ˚С,37.5 мм,37.5 мм,,,,,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-core-i5-12400-s1700-2-5g-bx8071512400-s-rl4v/,,,Процессор Intel Core I5-12400 S1700 2.5G (BX8071512400 S RL4V),15 299 р.,Вьетнам,1 год,Intel Core i5,LGA1700,Alder Lake,6,12,2.5 ГГц,4.4 ГГц,10 нм,BOX,7.5 МБ,18 МБ,Есть,Intel UHD Graphics 730,300 МГц,1450 МГц,"DDR5, DDR4","PC5-38400 (DDR5 4800 МГц), PC4-25600 (DDR4 3200 МГц)",2,128 ГБ,76.8 Гбит/с,"SSE4.1, SSE4.2, AES",117 Вт,100 ˚С,37.5 мм,45 мм,,,,,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-core-i5-12400f-s1700-2-5g-bx8071512400f-s-rl4w/,,,Процессор Intel Core I5-12400F S1700 2.5G (BX8071512400F S RL4W),14 799 р.,Вьетнам,1 год,Intel Core i5,,,6,12,2.5 ГГц,4.4 ГГц,,BOX,7.5 МБ,18 МБ,,,,,DDR4,PC4-25600 (DDR4 3200 МГц),2,128 ГБ,76.8 Гбит/с,"SSE4.1, SSE4.2, AES",,100 ˚С,37.5 мм,45 мм,,,,,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-i3-10105-3-7ghz-box/,,,Процессор Intel Core i3 10105 3.7GHz Box,9 799 р.,Китай,1 год,Intel Core i3,LGA1200,,4,8,3.7 ГГц,4.4 ГГц,14 нм,BOX,5 МБ,12 МБ,Есть,Intel UHD Graphics 630,350 МГц,1100 МГц,DDR4,PC4-21300 (DDR4 2666 МГц),2,128 ГБ,41.6 Гбит/с,"SSE4.1, SSE4.2, AES",,100 ˚С,37.5 мм,37.5 мм,64 ГБ,,,,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-i3-12100-3-30ghz-box/,,,Процессор Intel Core i3-12100 3.30Ghz Box,10 999 р.,Китай,1 год,Intel Core i3,,,4,8,3.3 ГГц,4.3 ГГц,,BOX,5 МБ,12 МБ,Есть,,300 МГц,1400 МГц,DDR4,PC4-25600 (DDR4 3200 МГц),2,128 ГБ,76.8 Гбит/с,"SSE4.1, SSE4.2, AES",,100 ˚С,37.5 мм,45 мм,,,,,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-i5-10400-2-9ghz-12mb-1200-box/,,,Процессор Intel Core i3-12100 3.30Ghz Box,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-i5-12500-box/,,,Процессор Intel Core i5-12500 Box,17 699 р.,Китай,1 год,Intel Core i5,LGA1700,Alder Lake,6,12,3 ГГц,4.6 ГГц,10 нм,BOX,7.5 МБ,18 МБ,Есть,Intel UHD Graphics 770,300 МГц,1450 МГц,"DDR5, DDR4","PC5-38400 (DDR5 4800 МГц), PC4-25600 (DDR4 3200 МГц)",2,128 ГБ,76.8 Гбит/с,"SSE4.1, SSE4.2, AES",117 Вт,100 ˚С,37.5 мм,45 мм,,,,,Есть,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-i7-11700k-3-6-ghz/,,,Процессор Intel i7-11700K 3.6 GHz,28 999 р.,Китай,1 год,Intel Core i7,LGA1200,Rocket Lake,8,16,3.6 ГГц,5 ГГц,14 нм,BOX,4 МБ,16 МБ,Есть,Intel UHD Graphics 750,350 МГц,1300 МГц,DDR4,PC4-25600 (DDR4 3200 МГц),2,128 ГБ,50 Гбит/с,"SSE4.1, SSE4.2, AES",125 Вт,100 ˚С,37.5 мм,37.5 мм,64 ГБ,,,,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-i7-11700kf-5-ghz/,,,Процессор Intel i7-11700KF 5 GHz,27 999 р.,Китай,1 год,Intel Core i7,LGA1200,,8,16,3.6 ГГц,5 ГГц,14 нм,BOX,16 МБ,,,,,,DDR4,PC4-25600 (DDR4 3200 МГц),2,128 ГБ,50 Гбит/с,"SSE4.1, SSE4.2, AES",,100 ˚С,37.5 мм,37.5 мм,,,,,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-i7-12700k-4-9ghz/,,,Процессор Intel i7 12700K 4.9GHz,34 999 р.,Китай,1 год,Intel Core i7,,,12,20,2.7 ГГц,5 ГГц,,BOX,12 МБ,25 МБ,Есть,,300 МГц,1500 МГц,DDR4,PC4-25600 (DDR4 3200 МГц),2,128 ГБ,76.8 Гбит/с,"SSE4.1, SSE4.2, AES",,100 ˚С,37.5 мм,45 мм,,,,,Есть,,,,,,,,
