Процессор,Гарантия,Объем SSD,Мышь,Цена,Количество ядер,Количество отзывов,Название,Операционная система,Клавиатура,Рейтинг,Блок питания,Разъем для наушников,Графика,Объем оперативной памяти,Разъем для микрофона
40,12.0,256.0,1.0,84380.0,4.0,0.0,компьютер hp 400 g9,8,1.0,0.0,180.0,0.0,51,8.0,0.0
79,12.0,512.0,0.0,122330.0,12.0,0.0,компьютер hp pro 400 g9,8,1.0,0.0,180.0,0.0,53,16.0,0.0
58,12.0,256.0,0.0,95990.0,6.0,0.0,компьютер hp pro 400 g9,8,1.0,0.0,180.0,0.0,53,8.0,0.0
105,12.0,256.0,1.0,64920.0,2.0,0.0,компьютер hp prodesk 400 g6,8,1.0,0.0,65.0,0.0,48,4.0,0.0
79,36.0,1024.0,0.0,93700.0,12.0,0.0,компьютер iru office 510b6gp,8,0.0,0.0,700.0,1.0,53,16.0,1.0
79,36.0,1024.0,0.0,76100.0,12.0,0.0,компьютер iru office 510b6gp,3,0.0,0.0,700.0,1.0,53,16.0,1.0
40,36.0,512.0,0.0,45700.0,4.0,0.0,компьютер iru home 310h6ge,3,0.0,0.0,500.0,1.0,51,16.0,1.0
11,36.0,512.0,0.0,42500.0,6.0,0.0,компьютер iru home 520a5ge,3,0.0,0.0,500.0,1.0,2,8.0,1.0
40,36.0,256.0,0.0,39100.0,4.0,0.0,компьютер iru home 310h6sm,3,0.0,5.0,400.0,1.0,51,16.0,1.0
40,36.0,256.0,0.0,34700.0,4.0,0.0,компьютер iru home 310h6sm,3,0.0,0.0,400.0,1.0,51,8.0,1.0
106,36.0,256.0,0.0,30300.0,2.0,0.0,компьютер iru home 310h6sm,3,0.0,5.0,400.0,1.0,50,8.0,1.0
62,12.0,1024.0,0.0,112500.0,10.0,0.0,компьютер msi infinite s3 13tc-678ru,7,0.0,0.0,500.0,1.0,25,16.0,1.0
62,12.0,1024.0,0.0,126900.0,10.0,0.0,компьютер msi codex 5 13tc-1620ru,8,0.0,5.0,500.0,1.0,25,16.0,1.0
86,12.0,1024.0,0.0,148900.0,16.0,0.0,компьютер msi trident 3 13tc-069ru,8,0.0,0.0,330.0,1.0,25,16.0,1.0
62,12.0,1024.0,0.0,122500.0,10.0,0.0,компьютер msi trident as 13tc-462ru,7,0.0,0.0,500.0,1.0,25,16.0,1.0
59,12.0,256.0,1.0,81170.0,6.0,0.0,компьютер lenovo thinkcentre tiny m70q-3,7,1.0,0.0,0.0,0.0,53,8.0,0.0
79,36.0,1024.0,0.0,270320.0,12.0,0.0,рабочая станция hp z2 g9,8,1.0,0.0,280.0,0.0,71,32.0,0.0
80,36.0,512.0,0.0,95100.0,12.0,0.0,компьютер iru home 310h6sm,3,0.0,0.0,650.0,1.0,15,16.0,1.0
80,36.0,512.0,0.0,96800.0,12.0,0.0,компьютер iru home 310h6sm,3,0.0,0.0,650.0,1.0,15,8.0,1.0
80,36.0,256.0,0.0,90300.0,12.0,0.0,компьютер iru home 310h6sm,3,0.0,5.0,650.0,1.0,11,16.0,1.0
80,36.0,256.0,0.0,84200.0,12.0,0.0,компьютер iru home 310h6sm,3,0.0,0.0,650.0,1.0,11,8.0,1.0
34,12.0,256.0,0.0,95990.0,4.0,0.0,компьютер hp prodesk 400 g7,8,0.0,0.0,0.0,0.0,49,8.0,0.0
61,12.0,512.0,0.0,64000.0,12.0,0.0,неттоп msi pro dp10 13m-024xru,7,0.0,0.0,120.0,0.0,45,8.0,0.0
61,12.0,512.0,0.0,68400.0,12.0,0.0,неттоп msi pro dp10 13m-022xru,7,0.0,0.0,120.0,0.0,45,16.0,0.0
61,12.0,512.0,0.0,79000.0,12.0,0.0,неттоп msi pro dp10 13m-023ru,8,0.0,0.0,120.0,0.0,45,8.0,0.0
84,12.0,512.0,0.0,97100.0,12.0,0.0,неттоп msi pro dp10 13m-021ru,8,0.0,0.0,120.0,0.0,45,16.0,0.0
78,12.0,512.0,0.0,70600.0,10.0,0.0,неттоп msi cubi 5 12m-043xru,7,0.0,0.0,65.0,1.0,45,16.0,1.0
54,12.0,512.0,0.0,72400.0,10.0,0.0,неттоп msi cubi 5 12m-044ru,8,0.0,0.0,65.0,0.0,45,8.0,0.0
61,12.0,256.0,0.0,62900.0,10.0,0.0,неттоп msi pro dp21 13m-603xru,7,0.0,0.0,120.0,1.0,51,16.0,1.0
85,12.0,512.0,0.0,81600.0,16.0,0.0,неттоп msi pro dp21 13m-602xru,7,0.0,0.0,120.0,1.0,53,16.0,1.0
37,36.0,1024.0,0.0,59900.0,4.0,0.0,компьютер iru game 310h5ge,3,0.0,5.0,500.0,1.0,19,16.0,1.0
37,36.0,1024.0,0.0,61700.0,4.0,0.0,компьютер iru game 310h5ge,3,0.0,0.0,500.0,1.0,19,8.0,1.0
104,12.0,0.0,0.0,29120.0,2.0,0.0,неттоп msi pro dp21 11ma-025bru,7,0.0,0.0,120.0,1.0,48,0.0,1.0
71,12.0,512.0,1.0,104930.0,8.0,0.0,компьютер hp prodesk 400 g6,8,1.0,0.0,65.0,0.0,49,16.0,0.0
45,36.0,240.0,0.0,75010.0,6.0,0.0,компьютер raskat strike 520,7,0.0,5.0,500.0,1.0,24,16.0,1.0
50,36.0,512.0,0.0,96800.0,6.0,0.0,компьютер iru game 310h5gma,3,0.0,5.0,650.0,1.0,25,16.0,1.0
79,12.0,256.0,1.0,105220.0,12.0,0.0,компьютер lenovo thinkcentre neo 50t,7,1.0,0.0,260.0,1.0,53,8.0,1.0
59,12.0,512.0,1.0,92340.0,6.0,0.0,компьютер hp prodesk 400 g9,8,1.0,0.0,90.0,0.0,53,8.0,0.0
80,12.0,512.0,1.0,105850.0,12.0,0.0,компьютер hp prodesk 400 g9,8,1.0,0.0,90.0,0.0,53,8.0,0.0
59,12.0,512.0,1.0,102260.0,6.0,0.0,компьютер hp prodesk 400 g9,8,1.0,0.0,90.0,0.0,53,16.0,0.0
49,36.0,256.0,0.0,84000.0,6.0,0.0,компьютер acer altos p10 f7,7,0.0,0.0,750.0,0.0,28,8.0,0.0
49,36.0,256.0,0.0,79800.0,6.0,0.0,компьютер acer altos p10 f7,7,0.0,0.0,750.0,0.0,27,8.0,0.0
49,36.0,256.0,0.0,75600.0,6.0,0.0,компьютер acer altos p10 f7,7,0.0,0.0,750.0,0.0,25,8.0,0.0
56,36.0,1024.0,0.0,120100.0,6.0,0.0,компьютер iru game 310b6gma,3,0.0,0.0,700.0,1.0,28,16.0,1.0
50,36.0,1024.0,0.0,109800.0,6.0,0.0,компьютер iru game 310b5gma,3,0.0,0.0,650.0,1.0,25,16.0,1.0
50,36.0,1024.0,0.0,87600.0,6.0,0.0,компьютер iru game 310h5ge,3,0.0,0.0,500.0,1.0,24,16.0,1.0
44,36.0,240.0,0.0,61100.0,6.0,0.0,компьютер iru home 310h5sm,8,0.0,0.0,400.0,1.0,49,8.0,1.0
47,12.0,256.0,1.0,93010.0,6.0,0.0,компьютер hp 290 g3,8,1.0,0.0,180.0,0.0,49,8.0,0.0
59,12.0,256.0,1.0,89800.0,6.0,0.0,компьютер hp prodesk 400 g9,8,1.0,0.0,90.0,0.0,53,8.0,0.0
44,36.0,512.0,1.0,92300.0,6.0,0.0,компьютер iru опал 515,3,1.0,0.0,450.0,1.0,49,16.0,1.0
59,12.0,256.0,1.0,105660.0,6.0,0.0,компьютер hp prodesk 400 g9,8,1.0,0.0,90.0,0.0,53,16.0,0.0
43,36.0,240.0,0.0,70400.0,4.0,0.0,компьютер iru office 513,8,0.0,0.0,400.0,1.0,49,8.0,1.0
25,0.0,0.0,0.0,0.0,0.0,0.0,компьютер iru office 512,0,0.0,0.0,0.0,0.0,1,0.0,0.0
41,12.0,256.0,1.0,74950.0,4.0,0.0,компьютер hp prodesk 400 g9,8,1.0,0.0,90.0,0.0,53,8.0,0.0
55,12.0,256.0,1.0,85800.0,6.0,0.0,компьютер lenovo neo 50s,8,1.0,0.0,260.0,0.0,51,8.0,0.0
56,36.0,512.0,0.0,102300.0,6.0,0.0,компьютер iru game 510h6gma,3,0.0,0.0,500.0,1.0,24,16.0,1.0
41,36.0,512.0,0.0,93900.0,4.0,0.0,компьютер iru game 510h6gma,3,0.0,0.0,500.0,1.0,24,16.0,1.0
50,36.0,1024.0,0.0,96400.0,6.0,0.0,компьютер iru game 310h5gma,3,0.0,0.0,650.0,1.0,25,16.0,1.0
50,36.0,1024.0,0.0,86500.0,6.0,0.0,компьютер iru game 310h5gma,3,0.0,0.0,650.0,1.0,24,16.0,1.0
34,36.0,256.0,0.0,54000.0,4.0,0.0,компьютер iru опал 513,3,0.0,0.0,450.0,1.0,49,8.0,1.0
56,36.0,1024.0,0.0,75600.0,6.0,0.0,компьютер iru game 510b6gma,3,0.0,5.0,500.0,1.0,16,16.0,1.0
40,12.0,256.0,1.0,72810.0,4.0,0.0,компьютер hp 290 g9,7,1.0,0.0,180.0,0.0,51,8.0,0.0
70,12.0,512.0,1.0,93680.0,6.0,0.0,компьютер hp 290 g4,7,1.0,0.0,180.0,0.0,49,8.0,0.0
104,12.0,256.0,0.0,22400.0,2.0,0.0,неттоп rombica horizon g6 t1g642d,7,0.0,0.0,100.0,1.0,48,4.0,1.0
104,12.0,0.0,0.0,16800.0,2.0,0.0,неттоп rombica horizon g6 txg600d,7,0.0,5.0,100.0,1.0,48,0.0,1.0
44,12.0,256.0,0.0,38400.0,6.0,0.0,неттоп rombica blackbird i5 h610482d,7,0.0,5.0,100.0,1.0,49,8.0,1.0
104,12.0,256.0,0.0,26000.0,2.0,0.0,неттоп rombica horizon g6 h7g642d,7,0.0,0.0,100.0,1.0,48,4.0,1.0
80,36.0,1024.0,0.0,177000.0,12.0,0.0,компьютер iru game 710z6gp,3,0.0,0.0,700.0,1.0,28,32.0,1.0
80,36.0,1024.0,0.0,168300.0,12.0,0.0,компьютер iru game 710z6gp,3,0.0,0.0,700.0,1.0,28,16.0,1.0
80,36.0,1024.0,0.0,139900.0,12.0,0.0,компьютер iru game 510b6gma,3,0.0,0.0,700.0,1.0,28,16.0,1.0
56,36.0,1024.0,0.0,119500.0,6.0,0.0,компьютер iru game 510b6gma,3,0.0,5.0,650.0,1.0,27,16.0,1.0
56,36.0,1024.0,0.0,112100.0,6.0,0.0,компьютер iru game 510b6gma,3,0.0,0.0,650.0,1.0,24,16.0,1.0
34,12.0,256.0,1.0,83950.0,4.0,0.0,компьютер hp 290 g4,8,1.0,0.0,180.0,0.0,49,8.0,0.0
35,12.0,256.0,1.0,71000.0,4.0,0.0,компьютер hp prodesk 400 g6,7,1.0,0.0,65.0,0.0,49,8.0,0.0
34,36.0,240.0,0.0,54000.0,4.0,0.0,компьютер iru home 310h5se,8,0.0,4.7,400.0,1.0,49,16.0,1.0
25,0.0,0.0,0.0,0.0,0.0,0.0,компьютер hp 290 g4,0,0.0,0.0,0.0,0.0,1,0.0,0.0
34,36.0,512.0,1.0,65000.0,4.0,0.0,компьютер iru опал 513,3,1.0,0.0,400.0,1.0,49,8.0,1.0
49,36.0,512.0,0.0,57300.0,6.0,0.0,компьютер iru office 510b5gm,3,0.0,0.0,500.0,1.0,51,16.0,1.0
49,36.0,512.0,0.0,51800.0,6.0,0.0,компьютер iru office 510b5gm,3,0.0,0.0,500.0,1.0,51,8.0,1.0
90,12.0,1024.0,1.0,172110.0,16.0,0.0,компьютер lenovo thinkcentre tiny m70q-3,8,1.0,0.0,135.0,0.0,53,16.0,0.0
90,12.0,1024.0,1.0,154030.0,16.0,0.0,компьютер lenovo thinkcentre tiny m70q-3,7,1.0,0.0,135.0,0.0,53,16.0,0.0
59,12.0,512.0,1.0,112420.0,6.0,0.0,компьютер lenovo thinkcentre tiny m70q-3,8,1.0,0.0,65.0,0.0,53,16.0,0.0
59,12.0,512.0,1.0,105320.0,6.0,0.0,компьютер lenovo thinkcentre tiny m70q-3,8,1.0,0.0,65.0,0.0,53,8.0,0.0
59,12.0,256.0,1.0,83020.0,6.0,0.0,компьютер lenovo thinkcentre tiny m70q-3,7,1.0,0.0,65.0,0.0,53,8.0,0.0
41,12.0,256.0,1.0,88670.0,4.0,0.0,компьютер lenovo thinkcentre tiny m70q-3,8,1.0,0.0,65.0,0.0,51,8.0,0.0
107,12.0,256.0,1.0,78920.0,2.0,0.0,компьютер lenovo thinkcentre tiny m70q-3,8,1.0,0.0,65.0,0.0,50,8.0,0.0
107,12.0,256.0,1.0,60830.0,2.0,0.0,компьютер lenovo thinkcentre tiny m70q-3,7,1.0,0.0,65.0,0.0,50,8.0,0.0
107,12.0,128.0,1.0,56520.0,2.0,0.0,компьютер lenovo thinkcentre tiny m70q-3,7,1.0,0.0,65.0,0.0,50,8.0,0.0
50,36.0,256.0,0.0,58900.0,6.0,0.0,компьютер iru home 310h5sm,3,0.0,4.0,500.0,1.0,11,16.0,1.0
73,36.0,512.0,0.0,74100.0,8.0,0.0,компьютер iru home 310h5sm,3,0.0,0.0,500.0,1.0,15,8.0,1.0
37,36.0,512.0,0.0,54000.0,4.0,0.0,компьютер iru home 310h5sm,3,0.0,0.0,500.0,1.0,15,8.0,1.0
37,36.0,256.0,0.0,40500.0,4.0,0.0,компьютер iru home 310h5sm,3,0.0,5.0,400.0,1.0,11,8.0,1.0
56,36.0,1024.0,0.0,116300.0,6.0,0.0,компьютер iru game 510b6gma,3,0.0,0.0,650.0,1.0,27,16.0,1.0
56,36.0,1024.0,0.0,90900.0,6.0,0.0,компьютер iru game 510b6gma,3,0.0,0.0,650.0,1.0,24,16.0,1.0
50,36.0,1024.0,0.0,115900.0,6.0,0.0,компьютер iru game 510b5gma,3,0.0,0.0,650.0,1.0,24,16.0,1.0
73,36.0,512.0,0.0,77100.0,8.0,0.0,компьютер iru home 310h5gm,3,0.0,0.0,500.0,1.0,15,16.0,1.0
73,36.0,512.0,0.0,72700.0,8.0,0.0,компьютер iru home 310h5gm,3,0.0,0.0,500.0,1.0,15,8.0,1.0
37,36.0,512.0,0.0,55100.0,4.0,0.0,компьютер iru home 310h5gm,3,0.0,5.0,500.0,1.0,15,16.0,1.0
47,12.0,0.0,1.0,97600.0,6.0,0.0,компьютер hp elitedesk 800 g6,7,0.0,0.0,260.0,0.0,49,16.0,0.0
34,12.0,256.0,1.0,101470.0,4.0,0.0,компьютер hp prodesk 400 g7,8,1.0,0.0,0.0,0.0,49,8.0,0.0
48,12.0,256.0,1.0,72650.0,6.0,0.0,компьютер hp prodesk 400 g6,3,0.0,0.0,65.0,0.0,49,8.0,0.0
19,12.0,512.0,1.0,107720.0,8.0,0.0,компьютер hp 295 g8,8,0.0,0.0,0.0,0.0,2,8.0,0.0
19,12.0,256.0,1.0,105440.0,8.0,0.0,компьютер hp 295 g8,8,0.0,0.0,0.0,0.0,2,8.0,0.0
11,12.0,256.0,1.0,93960.0,6.0,0.0,компьютер hp 295 g8,8,0.0,0.0,0.0,0.0,2,8.0,0.0
3,12.0,256.0,1.0,90390.0,4.0,0.0,компьютер hp 295 g8,8,0.0,0.0,0.0,0.0,2,8.0,0.0
50,36.0,1024.0,0.0,88700.0,6.0,0.0,компьютер iru game 510b5gs,3,0.0,0.0,700.0,1.0,24,16.0,1.0
37,36.0,1024.0,0.0,77100.0,4.0,0.0,компьютер iru game 310h5ge,3,0.0,0.0,500.0,1.0,19,16.0,1.0
37,36.0,1024.0,0.0,71600.0,4.0,0.0,компьютер iru game 310h5ge,3,0.0,0.0,500.0,1.0,19,8.0,1.0
37,36.0,1024.0,0.0,58400.0,4.0,0.0,компьютер iru game 310h5ge,3,0.0,0.0,500.0,1.0,16,8.0,1.0
37,12.0,250.0,0.0,63900.0,4.0,0.0,мини пк msi pro dp130 11rk-490ru,8,0.0,0.0,350.0,1.0,11,8.0,1.0
55,12.0,512.0,0.0,67290.0,6.0,0.0,мини пк msi pro dp130 12-486ru,8,0.0,0.0,350.0,1.0,46,8.0,1.0
104,36.0,256.0,1.0,52900.0,2.0,0.0,компьютер iru опал 512,3,1.0,0.0,500.0,1.0,48,8.0,1.0
49,36.0,512.0,0.0,75400.0,6.0,0.0,компьютер iru опал 513,3,0.0,0.0,400.0,1.0,51,16.0,1.0
49,36.0,256.0,0.0,61700.0,6.0,0.0,компьютер iru опал 513,3,0.0,0.0,400.0,1.0,51,8.0,1.0
34,36.0,256.0,0.0,77200.0,4.0,0.0,компьютер iru опал 513,3,0.0,0.0,400.0,1.0,49,16.0,1.0
34,36.0,256.0,0.0,54300.0,4.0,0.0,компьютер iru опал 513,3,0.0,0.0,400.0,1.0,49,8.0,1.0
9,12.0,512.0,0.0,82800.0,6.0,0.0,компьютер asus g10dk-53600x016w,8,0.0,0.0,500.0,0.0,21,8.0,0.0
9,12.0,512.0,0.0,93800.0,6.0,0.0,компьютер asus g10dk-53600x0150,7,0.0,0.0,500.0,0.0,21,16.0,0.0
16,36.0,512.0,0.0,46200.0,6.0,0.0,компьютер iru home 320a3ge,3,0.0,5.0,500.0,1.0,2,8.0,1.0
11,12.0,240.0,0.0,68600.0,6.0,0.0,компьютер rdw computers optimal bc,5,0.0,0.0,0.0,0.0,2,8.0,0.0
44,36.0,512.0,1.0,69500.0,6.0,0.0,компьютер iru опал 515,3,1.0,0.0,400.0,1.0,49,16.0,1.0
34,36.0,256.0,1.0,75000.0,4.0,0.0,компьютер iru опал 513,3,1.0,0.0,400.0,1.0,49,16.0,1.0
44,36.0,256.0,1.0,69400.0,6.0,0.0,компьютер iru опал 515,3,1.0,0.0,400.0,1.0,49,8.0,1.0
34,36.0,256.0,1.0,57300.0,4.0,0.0,компьютер iru опал 513,3,1.0,0.0,400.0,1.0,49,8.0,1.0
19,12.0,512.0,0.0,83800.0,8.0,0.0,компьютер lenovo ideacentre 14acn6,8,0.0,0.0,260.0,0.0,2,8.0,0.0
19,12.0,256.0,0.0,79600.0,8.0,0.0,компьютер lenovo ideacentre 14acn6,8,0.0,0.0,260.0,0.0,2,8.0,0.0
99,12.0,128.0,0.0,23200.0,2.0,0.0,неттоп msi cubi n jsl-041ru,8,0.0,0.0,65.0,0.0,46,4.0,0.0
73,36.0,1024.0,0.0,327800.0,8.0,0.0,компьютер iru game 710z5gp,8,0.0,0.0,800.0,1.0,33,32.0,1.0
73,36.0,1024.0,0.0,355900.0,8.0,0.0,компьютер iru game 710z5gp,3,0.0,0.0,800.0,1.0,33,32.0,1.0
49,36.0,256.0,0.0,41300.0,4.0,0.0,компьютер iru office 310h5sf,3,0.0,0.0,300.0,1.0,51,8.0,1.0
50,36.0,1024.0,0.0,132400.0,6.0,0.0,компьютер iru game 510b5gma,3,0.0,0.0,650.0,1.0,25,16.0,1.0
50,36.0,1024.0,0.0,106700.0,6.0,0.0,компьютер iru game 510h5gm,3,0.0,0.0,650.0,1.0,24,16.0,1.0
49,36.0,256.0,0.0,51800.0,4.0,0.0,компьютер iru office 310h5sm,3,0.0,0.0,400.0,1.0,51,8.0,1.0
34,36.0,0.0,0.0,39700.0,4.0,0.0,компьютер iru office 310h5sm,3,0.0,0.0,400.0,1.0,49,8.0,1.0
104,36.0,256.0,0.0,28100.0,2.0,0.0,компьютер iru office 310h5sm,3,0.0,0.0,400.0,1.0,48,8.0,1.0
98,12.0,128.0,0.0,22200.0,4.0,0.0,неттоп iru 110pgl,3,0.0,0.0,0.0,0.0,47,4.0,0.0
49,36.0,512.0,0.0,46900.0,6.0,0.0,компьютер iru home 310h5ge,3,0.0,5.0,500.0,1.0,51,8.0,1.0
72,36.0,1024.0,0.0,71600.0,8.0,0.0,компьютер iru office 510b5gpi,3,0.0,4.0,700.0,1.0,52,32.0,1.0
44,12.0,256.0,1.0,66370.0,6.0,0.0,компьютер lenovo v50t gen 2-13iob,7,1.0,0.0,180.0,0.0,49,8.0,1.0
34,12.0,256.0,1.0,60620.0,4.0,0.0,компьютер lenovo v50t gen 2-13iob,7,1.0,0.0,180.0,0.0,49,8.0,1.0
49,36.0,0.0,0.0,58400.0,6.0,0.0,компьютер iru home 310h5se,8,0.0,0.0,400.0,1.0,51,8.0,1.0
